source_block	source_start_vm_ip	source_terminal_vm_ip	target_block	target_vm_ip	edge_kind	target_coverage_statuses	events	terminal_kind	source_entry	target_entry	delta	semantic_ir
92	0x128df5	0x12906b		0x12906f	covered_synthetic_fallthrough	target_footprint_of_10:1	1	exact_instruction	174	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
93	0x1705a9	0x170852		0x170856	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
94	0x170864	0x170b3d		0x170b41	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
95	0x170b4f	0x170dad		0x170db1	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
96	0x170dbf	0x170fd7		0x170fdb	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
97	0x170fe9	0x171201		0x171205	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
98	0x171213	0x1714b8		0x1714bc	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
99	0x1714ca	0x1717a3		0x1717a7	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
100	0x1717b5	0x171a13		0x171a17	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
101	0x171a25	0x171c3d		0x171c41	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
102	0x171c4f	0x171e67		0x171e6b	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
103	0x171e79	0x17211e		0x172122	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
104	0x172130	0x172409		0x17240d	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
105	0x17241b	0x172649		0x17264d	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	184	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
106	0x17265b	0x172873		0x172877	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
107	0x172885	0x172a9d		0x172aa1	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
108	0x172aaf	0x172d54		0x172d58	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	161	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
109	0x172d66	0x17303f		0x173043	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	158	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
110	0x173051	0x1732af		0x1732b3	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
111	0x1732c1	0x1734d9		0x1734dd	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
112	0x1734eb	0x173703		0x173707	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	20	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
113	0x173715	0x1739ba		0x1739be	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	161	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
114	0x1739cc	0x173ca5		0x173ca9	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	20	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
115	0x173cb7	0x173f15		0x173f19	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	20	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
116	0x173f27	0x17413f		0x174143	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	176	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
117	0x174151	0x174369		0x17436d	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	184	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
118	0x17437b	0x17452a		0x17452e	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	123	299	+0x4	next = 299@0xb6bba:1, ip += +0x4; dispatch_model=static_100
119	0x176883	0x176aa1		0x176aa5	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
120	0x176ab3	0x176c83		0x176c87	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
121	0x176c95	0x176e93		0x176e97	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
122	0x176ea5	0x1770e5		0x1770e9	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
123	0x1770f7	0x1772fc	124	0x177353	decoded_control		1	long_branch_forward	246	354	+0x57	next = table[354], ip += 0x57
124	0x177353	0x1774b4		0x1774b8	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100
125	0x1774c6	0x17776b		0x17776f	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
126	0x17777d	0x17792b		0x177930	covered_synthetic_fallthrough	hidden_span_of_16:1	1	exact_instruction	122	334	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100
127	0x177940	0x177ae7		0x177aeb	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
128	0x177af9	0x177c82	129	0x179f43	decoded_control		1	long_branch_forward	308	354	+0x22c1	next = table[354], ip += 0x22c1
129	0x179f43	0x17a04b		0x17a04f	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	184	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
130	0x17a05d	0x17a25b		0x17a25f	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
131	0x17a26d	0x17a41c		0x17a420	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	161	175	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100
132	0x18b66f	0x18b88b		0x18b88f	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	20	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
133	0x18b89d	0x18ba57		0x18ba5b	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
134	0x18ba69	0x18bd88		0x18bd8c	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	184	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
135	0x18bd9a	0x18bea6		0x18beab	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	245	75	+0x5	next = 75@0x873fc:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
136	0x18bebc	0x18c076		0x18c07a	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	20	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
137	0x18c088	0x18c2a2		0x18c2a6	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
138	0x18c2b4	0x18c463		0x18c467	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	184	195	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
139	0x1a480d	0x1a4a8d		0x1a4a91	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
140	0x1a4a9f	0x1a4c6f		0x1a4c73	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
