source_entry	source_target	delta	events	source_event_pct	unique_start_ips	unique_signatures	shape	word_shape	target_entropy	top_targets	top_sites	top_byte_values	byte_layout	word_layout
220	0xa522e	+0x5	3576	100.0	423	423	CCCVV	CV	2.883	144@0x95887:813,108@0x8f24b:555,173@0x9ba74:520,198@0xa037e:485,352@0xc1ec4:405,256@0xad849:351	tail@0xa5886:3576	003d01c500:256,003d01cb7e:256,003d010317:256,003d015fb3:256,003d01385d:92,003d01c321:91	b0=0x00;b1=0x3d;b2=0x01;b3=var164(top=0x03:9.0%);b4=var199(top=0x7e:7.4%)	w0=0x3d00;w1=var164(top=0x0301:9.0%)
3	0x78c77	+0x5	3434	100.0	401	401	VVCCC	VC	2.938	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	tail@0x792f5:3434	9927003d01:184,9121003d01:126,19c1003d01:119,69c1003d01:116,1920003d01:102,1160003d01:95	b0=var20(top=0x19:19.7%);b1=var60(top=0x26:9.2%);b2=0x00;b3=0x3d;b4=0x01	w0=var289(top=0x2799:5.4%);w1=0x3d00
332	0xbd36d	+0x4	3292	100.0	258	258	VVVV	VV	4.514	347@0xc088d:268,114@0x90319:257,90@0x8b334:256,99@0x8c99a:256,319@0xba72f:256,258@0xadf2c:249	tail@0xbd8ad:3292	ad873b07:256,0bd7ffc7:256,11d7f7ca:256,8bd79fca:256,0bd71f58:256,1c97b709:91	b0=var38(top=0x0b:15.7%);b1=var19(top=0xd7:43.6%);b2=var79(top=0xf7:9.8%);b3=var108(top=0xca:15.7%)	w0=var119(top=0xd70b:15.7%);w1=var249(top=0xc7ff:7.8%)
300	0xb6c36	+0x4	3190	100.0	238	238	VVVV	VV	3.964	258@0xadf2c:517,220@0xa522e:355,183@0x9d495:268,337@0xbec0e:262,333@0xbd8af:262,185@0x9d964:260	tail@0xb708a:3190	2c856042:256,270979bc:256,2002dbc2:256,df540fa8:256,3439d068:256,1213f5a4:256	b0=var134(top=0x12:10.9%);b1=var135(top=0x85:10.1%);b2=var96(top=0x60:10.2%);b3=var122(top=0x42:10.0%)	w0=var233(top=0x852c:8.0%);w1=var221(top=0x4260:8.0%)
260	0xae90b	+0x4	2645	100.0	228	228	VVVV	VV	4.157	180@0x9cf32:356,189@0x9e7af:271,340@0xbf435:257,183@0x9d495:247,91@0x8b6de:204,64@0x85059:186	tail@0xaeda0:2645	380e3811:256,60039000:256,950f3d31:150,3d0cdf01:116,9d0fbf01:92,9d0f3951:91	b0=var69(top=0x38:9.9%);b1=var13(top=0x0f:27.6%);b2=var108(top=0x38:9.7%);b3=var54(top=0x00:20.7%)	w0=var130(top=0x0e38:9.7%);w1=var187(top=0x1138:9.7%)
269	0xb045b	+0x5	2612	100.0	415	415	CCCVV	CV	2.873	108@0x8f24b:571,352@0xc1ec4:384,256@0xad849:368,160@0x994cf:364,173@0x9ba74:364,257@0xadbfd:274	tail@0xb092e:2612	003d01f3be:256,003d01f7c1:189,003d01f7b4:93,003d01519a:92,003d01564f:92,003d012fb1:91	b0=0x00;b1=0x3d;b2=0x01;b3=var122(top=0xf7:15.2%);b4=var137(top=0xbe:17.0%)	w0=0x3d00;w1=var122(top=0xf701:15.2%)
30	0x7e849	+0x4	2590	100.0	244	244	VVVV	VV	3.930	183@0x9d495:397,203@0xa1484:350,91@0x8b6de:266,192@0x9f00a:256,337@0xbec0e:187,185@0x9d964:185	tail@0x7ecd0:2590	b664cf57:256,dc96e301:256,3db67802:125,3b5e1401:91,649aac44:91,ef6f9f09:91	b0=var131(top=0xb6:12.4%);b1=var144(top=0x64:10.0%);b2=var114(top=0xe3:9.9%);b3=var93(top=0x01:22.7%)	w0=var235(top=0x64b6:9.9%);w1=var197(top=0x57cf:9.9%)
171	0x9b4b3	+0x2	2533	100.0	185	185	VE	V	4.093	196@0x9fbcd:352,337@0xbec0e:328,322@0xbb3c9:256,333@0xbd8af:191,43@0x8173d:186,66@0x855ff:152	tail@0x9b687:2533	c400:352,5101:328,4201:256,4d01:191,2b00:186,4200:152	b0=var30(top=0x42:16.1%);b1=enum2(0x00:1393,0x01:1140)	w0=var31(top=0x00c4:13.9%)
239	0xa991e	+0x6	2519	100.0	323	323	VVVVVV	VVV	4.557	297@0xb64d7:255,28@0x7e390:228,320@0xbada5:208,37@0x80685:177,157@0x98a9a:154,340@0xbf435:138	tail@0xa9cf4:2519	9429c00926ab:125,2a09c139d2a1:125,90029130a6aa:91,d82ac0098ea1:91,fe6b512196a5:91,e46180219eaa:91	b0=var140(top=0x2a:5.5%);b1=var65(top=0x02:11.2%);b2=var36(top=0xc1:13.6%);b3=var23(top=0x21:15.7%);b4=var72(top=0xbe:8.8%);b5=var29(top=0xa6:21.0%)	w0=var312(top=0x2994:5.0%);w1=var178(top=0x09c0:8.6%);w2=var181(top=0xa18e:7.6%)
167	0x9a8d2	+0x6	2509	100.0	174	174	CCCCVV	CCV	1.471	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457	tail@0x9aa81:2509	e8013d01d033:256,e8013d01f52f:183,e8013d01c52d:104,e8013d01fd2b:101,e8013d01ff00:92,e8013d01dd2d:92	b0=0xe8;b1=0x01;b2=0x3d;b3=0x01;b4=var87(top=0xf5:13.7%);b5=var97(top=0x2d:11.6%)	w0=0x01e8;w1=0x013d;w2=var152(top=0x33d0:10.2%)
