program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
056	0x3603af	ready_for_mba_reduction	all required static/runtime fields are present	14	13	13	13	yes	yes	691	
056	0x360dfd	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	214	
056	0x361143	ready_for_mba_reduction	all required static/runtime fields are present	24	2	2	2	yes	yes	163	
056	0x3613bb	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	96	
056	0x36152c	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	20	
056	0x361587	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	164	
056	0x361802	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	946	
056	0x362615	ready_for_mba_reduction	all required static/runtime fields are present	24	2	2	2	yes	yes	201	
056	0x36292a	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	132	
056	0x362b2a	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	96	
056	0x362c9b	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	20	
056	0x362cf7	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	164	
056	0x362f71	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	946	
056	0x363d84	ready_for_mba_reduction	all required static/runtime fields are present	24	2	2	2	yes	yes	189	
056	0x36406b	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	132	
056	0x36426c	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	673	
056	0x364c72	ready_for_mba_reduction	all required static/runtime fields are present	14	13	13	13	yes	yes	73	
056	0x364d98	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	51	
056	0x364e5f	ready_for_mba_reduction	all required static/runtime fields are present	14	13	13	13	yes	yes	73	
056	0x364f84	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	51	
056	0x36504c	ready_for_mba_reduction	all required static/runtime fields are present	11	10	10	10	yes	yes	74	
056	0x365190	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	46	
