program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
009	40	0x11bf5d	0x11c0ac	0x11c0ac	90	exact_instruction	5@0x11ac5e-0x11f4da+0x12ff	0xb9	0x0	0x63	0xab	0x3a	0xdb	0xb9	0x6300	0xab63	0xdb3a	b90063ab3adb036800830768000ec732a16220e801811c003d01bddc67f36800						20	278				covered_synthetic_fallthrough		0x11c0ac	20	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_14:1	18	5	5	5	0xfffff7cf:5	0x0:5	0x6df8eff9:5	0x0:5	185:18	b900:18
009	41	0x11c0ba	0x11c200	0x11c200	85	exact_instruction	5@0x11ac5e-0x11f4da+0x145c	0x1c	0x0	0x0	0x2	0x10	0x62	0x1c	0x0	0x200	0x6210	1c00000210624f183b685dbdd72a99e801bab5ab1ba6ab8037c2ab00b496e801						122	334				covered_synthetic_fallthrough		0x11c200	122	334	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	hidden_span_of_17:1	18	5	5	5	0x38c980f8:5	0x0:5	0x482bb39f:5	0x0:5	28:18	1c00:18
009	42	0x11c211	0x11c25e	0x11c25e	19	long_branch_forward	5@0x11ac5e-0x11f4da+0x15b3	0x88	0x5	0x2a	0x23	0x56	0x26	0x588	0x2a05	0x232a	0x2656	88052a235626d97cc68c97e801667f00c8683d01e0f23b1978d6400688f98110						117	165				decoded_control	43	0x11c2aa	117	165	+0x54	next = table[165], ip += 0x54		18	5	5	5	0x998174a8:5	0x8fffb08:5	0xc822048:5	0x7757bf9f:5	168:18	88052a:18
