segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
15	0xd5a12	0xd5b17	0x105	71	71	33	0	0	442b045186ffefaeac1b1e09f627975212850b410d733fe007fcc947e70947f4	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	+0x4:43,+0x3:20,+0x2:4,+0x5:3,+0x6:1	9d008bd79d01b69d7cc9d80d05fe8c753a0085b03d01178a6c92d300d684326b893584ddc773c3aa27003d0176459b694966d139eda8854b59b2780228fe233d	40dd0805885ecee801120954e0ff136ce801f64cd80a5c4a8d6c01d143e801e805c1ca7144a6e8017227b8f4ab0004ebc7e801b47534199900a0023ae8011cdd
16	0xd5b25	0xd5cfb	0x1d6	126	126	44	0	0	f4f5e7ac239a28e336a825dbfa5140bb988f3d28f29becf2676b368dcd9b6c29	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	+0x4:85,+0x3:34,+0x2:3,+0x6:2,+0x5:2	c4004f6e5cf4d321a680009a81e80139f90d1667df9298debe80f00206a2e80162080e7cd00b2a8b72242226d1e8011008241a9ff80acfbecb02769de801f81d	3a405f9ac98b56e801838db412082402ffc3e801000756dd229f98e8012db3340c10817005a6607ee801b853167cf103c2e801ba75e38e36f41a7d40acf3e801
17	0xd5d09	0xd5ebc	0x1b3	116	116	36	0	0	9c703d1fbace357000967632474b80320bc22dd56037dcc10f0d06a469b79a02	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	4000bda79900179a253b9d552a0e3ee801c77ce301f4bff498fbab00e80131f5d18de6d0a28c3a950550e91296e801b66910e35c06baff90d4d5e6a8e8016e5a	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
18	0xd718e	0xd73ae	0x220	145	145	53	0	0	30a11b4eab27d36b738d6f69853202af25d61370cfbbabc00d71687b93801559	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	525c5447016d59e801c862c7af0c057286d4e80157ce029c9128001f10e801ff96aeaead0b6809a2e8010002fc042dcf93e80133b7e3528415cf0f3ad5c3e801
19	0xd73bc	0xd75f1	0x235	150	150	55	0	0	ab9d674a40ec87d4ba72d368e11deecee2f039ed3e4510e4f7a4682ea8733b30	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	5b0108386209075fae31a99ddd1c0ce801ef9dae479fab0033836f0308bee8015474fb0f32a53a5967ece89d9ee801ff4a3ad39528fc43322800e801e1f03253	e82153fd3ae801c5033cef3920a7cfefe80101e33a95fbdac0043a5029e80147f02285804ce04632e801580b3a73b9ff097403e8019a6f55ab144af2e801e820
20	0xd75ff	0xd77c8	0x1c9	121	121	42	0	0	a67c9335f7bb968c4fe7b6e0f7f779a9a62636ba4378d42e59cd75dd4c174f44	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	c700c7453a4d759100009489f8e801f9faf46bdda12006a8ddde3ddf823ae801e3a98900198149fdf7ac4a4028e801c93609f758d6d904152800451be8017962	05d2a00005e8018b5d4c0b2301c0053ce435e801b63ff702368d62383ee801a40ba082f0139ae80101772e2e3feb59c32ade57e80103e5a380f004e7e801b150
21	0xd77d9	0xd790a	0x131	73	73	32	0	0	57172627b0adda6bc978d9bb6c6681c995197cda42d240bdda29fad7240c8b7a	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x2aa5:1	020196bf077680292e65ba59699d9ee80177423affd997c69f9f677ba59ce801e59b89fe40608a4456aed95a5ce801cd2b55f8c1ab3a5d003fa0fa97e801245b	c8e8013d01cd2de801e03e10f85fb2433a95305ebafa753f76fb017353a13d01ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880
22	0xda38f	0xda4b0	0x121	78	78	37	0	0	cb3f5cd1f17407fe9fd985693159316f0ea3527d7ea9d08e919b20ea65553836	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	7200a2635bacc8e12308a51c2ac0e45399881de801a8a03d0100c7b783cb5debc47f600148047001f8f6e3a23a4ac2003d011f9b7f881cdf3ea5aab0b7680033	bedb9128e1c237e801f74bba87df0fc7e2d2e8012ff01ce5137d3ae801d17f0002fdd2cd688be80185a7041fab0001bdae3275e8017aecd56f2217dbba68e801
23	0xda4be	0xda607	0x149	79	79	38	0	0	169643985b0d037bfba68496ad31d31306eac94941582a3f560f4766cd4051fc	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x670:1	33013a9daf9900ece37b099900ddf7e8012f74f301289c9b00085afae8019c76737c01f6750812bb9d39a2e80161f261086a72fac6840d833702e80171f27a06	2fc2dc22ad27753d01e54968979b6f5621629e18d00a10fe8a22c03d01715c8da5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c
24	0xdac57	0xdad78	0x121	78	78	38	0	0	00942a69a0c3002cf3ed8f9621b0b06ea9d87966eb371895e6e4bd5102a94cfd	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	5b011937310983837e398b06e801d027aee757fed5003d01033003763d36316fb806e8045cbbc468000e8a6c031cfd003d0134eefc80b30062cfbe900015af18	4118e52208e80145e3222fb231d60a3ae1aae801a00a8f403f2800e8013a0f3353c41a8f043ae8010177beac3f6bd80320aa3ae80138a2818c800580e8013d8f
25	0xdad86	0xdaf39	0x1b3	116	116	38	0	0	364f64563edd0d25a5875c8cb13fb00f8dd7b4cfca3c62acf57ab3ad2ba0a5e6	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	b9001bab3ae98cdd13145e9ecf82bbe801d80aa6d30d4f439f9f47db459ae801a00a70181f8900d79236169a0ae80166d822ed147578011803b6e80184cdfc14	2a1ae11b4ce801fedec43e2301e09a3a9295e8015ba33a7c914d54fba5e801e07289d0f00428e8014b99a0998ad070353a3090e80148039900ba75affa5ae801
26	0x11ac5e	0x11aee0	0x282	170	170	61	0	0	49f393e2b75da7057f62a5354ff0b3974dc3d15119e8dda4aadf0b4a5e120bed	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	+0x4:104,+0x3:41,+0x5:11,+0x2:9,+0x6:5	ab00e801ac00b2afeb00348bde02f81356204ae801fd650d305c1144b198dce5ce94e8018bf889005245ad5386243b859ee8012006b0ad5454fe77f3dcc24296	4701084797612de801e805089c70109fe8012e7702494c375d4c8c48ece801fe7e79cca000cee801d97a7cfa74e66fbc0ae801126eb889da00a00d56e8018d76
27	0x11aeee	0x11b122	0x234	150	150	53	0	0	608a17aa1adeb64d2187d720e31ded5aecd24511387fbe68a30f38cb0515193b	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	72006b648cacbf9e7576880904dd52e801f57d71e14b1690c3efab00a0a9e80110691ed809067cfa818900c701e8019f483a3399a24f37b02800e80131f51fe7	ad4d623aade801062577163abdf410e5884ee8017109e90608051c19d9e8017a168900b175af2268e801c19376da6f073ae80153da8b0f3e014389e6e801828d
28	0x11b130	0x11b364	0x234	150	150	51	0	0	fb0a73e08e32265ac9a5cec3055c2e91cf18d3d600d8c96c4cd20ec271bf3aac	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	5401d4179900cfef9900880984e160e8016006320093a309c58792cbac99e8013af5ae89e0c6d4c6bf1cee1d9fe801cf9d04761b0f3abb1e2800e801a485215e	ca837ea5aee80136ee7a3db4146b23e0149ee8019003480ea217efe8018f75d41c8900588710a003e8011bc2abfcff6b8a3a73e8019003e6b34d9c7feb73e801
29	0x11b372	0x11b5a6	0x234	150	150	53	0	0	f7674b4635fe81bfa3756782b12aa8ba656deb73300e3165d2cc9c7ae923a8ba	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	420021913af67108b0a3f99900cdd3e801692b64e35801f01375f701e8014ec8da61757f236769de213b0be80140c6e32b33085537647a41fa2872a1e8011fad	4701bccface801733490036309478e8fae58e801ad0d2f80730e3ae8019de6f25e890041b24ae8012d847bc5b19448d9fc70fae80115b399fe3097dae8015cf3
30	0x11b5b4	0x11b7e8	0x234	150	150	55	0	0	952c9f216794c5552b02a960c7bd534d49bd545590aaf0b773ba99e7d2c6ae87	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	cb004f9135766d4e57a6d8ddc0e8017a49d608d04648748ef826fa3ae801f9fa48d8aec10c9d26d81d9ee9bf5ce80127c51d2b968b09cb0928000d16e801a00b	885d1d3b8cde30e8013a08ec084825af1b16e801e1578aa87a70a8e801c82cff98e563a00083e8011f03f82b2e17bd3f4b7238e80113263a22829900332ee801
31	0x11b7f6	0x11ba2a	0x234	150	150	54	0	0	64c1247aa60e29e762dcf78c0dfbabc95211655680825d4c16be162c4b0b4071	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	5101e09999008025faf2b3ab0d8d23e801c3fac4d5dcc92e68860a3ae801d1fa82df89009118da0f993597e8012cc8946446d5cba814e9f80a36e80199f46e4c	4e81e1d74cb47fe801cc88184670055fe364e801e8055237b944e8e80198ed4ff1b52473bdaeda74e801b4a4549b08054c8653e8018f8eaa0cd19900e8017536
32	0x11ba38	0x11bb7e	0x146	85	85	41	0	0	ce4c64f6178a86c7d9007101d59f0599c2d84ccc7a192dd2fb5fbe94323cf8eb	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	1200e8043afeca99003364a3145ecde8010002e099a445ca22f808eff4afe8018414106ed80a88c1808d01b41ee8016bf2a8f54b84a26bbb4db1859ee801b96a	f5ae50f79ed9e8fa6000916e003d0152f9e80448fbc468005831680066bfc088c57d00bcf73d01d7944fba50518bcfa4453a10b6a749643da4c13aeef7af3d01
33	0x11bb8f	0x11bbf4	0x65	19	19	19	0	0	5bd8cfdb19d1f1089ec89e0e597c407753f1904ebe46db6215496401d6b6f7ea	183:1,203:1,297:1,337:1,49:1,198:1,185:1,124:1	203:1,297:1,337:1,49:1,198:1,185:1,124:1,43:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	e801d3ef4f916576ad864e3704ad0200622b3d010fdedf9c3af4ed008cc7c0e48988feaa02cbb13d01066d0087f43a59fb47944a218b0cd80afcaf01b782003d	cbb13d01066d0087f43a59fb47944a218b0cd80afcaf01b782003d01a2053123ab00000054000000cb00ef9f0476feb929b6232c1738f0eb678b3a003d014efa
34	0x11bc28	0x11bd5f	0x137	84	84	37	0	0	51cdc2389a3bae5196b0611fc8cd75907f48bf939d6a2e030b8f49589a21ebf3	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	+0x4:49,+0x3:22,+0x2:6,+0x5:5,+0x6:2	40007eaa68002eea5adce8013483680afc8fe16800b7ab003d0112265a69b54be67b6fc089d17a2ef710ef67c34b88003d01486d10903affa7a96a28a9506f04	4a7f8005e0e80175848e79b1b48a2301a0fce801f90a318397d35efa7be8013f923849a0281ae801f17f10081d1e6b9b3be8010e1f9c840a8f6b2020de76e801
35	0x11bd6d	0x11beb3	0x146	85	85	43	0	0	b2c43c47929bd773bd93bad990d2467cabd8ac67bbbc84aa1ee2be51264604ff	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	120040053a145656d924911900e80111f5cb620b0ca3f246bf6128d8e801b9f558803a7ed989008b04f3350a28e801000228a29e03d057f82800610ee8014005	9ef67d0e7a01e801be90003d013f02620e88ff50adfd51ac246800ff688ed8fab5b3003d01fcc3c790183cd7ccd2d008a6000e093a2455005607c04ababf3d01
36	0x11bec4	0x11bf29	0x65	19	19	19	0	0	b9f48fd28acd03f8a3e604941d5c29eb24963cf157244ffc38f5d7c23e2a3959	183:1,66:1,196:1,64:1,79:1,198:1,200:1,203:1	66:1,196:1,64:1,79:1,198:1,200:1,203:1,258:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	e8016e7f952d2844b3449067e84f4570273d01006c14e1a1125d5806179034b6a30e62cd28019e3504003d017e1236027683aff6b3000004003a6b81a19e003d	019e3504003d017e1236027683aff6b3000004003a6b81a19e003d01a7f8ef0762010000540000005b0161323109dbf9d22946a0520dab347660009e8a3d0100
37	0x11bf5d	0x11c0ac	0x14f	90	90	44	0	0	765bfbb63ee14aa06170d4b79a3d5bbb14dae37a8789fab87d75dd5d3e0da323	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	b90063ab3adb036800830768000ec732a16220e801811c003d01bddc67f368001e9757df824c00aca7c33b833a003d0178d2aa0a0f6f8c9e46b85a0be4a070da	3f181cf6e2e8013177a4977fb60cba43a190e8018ea1e8fc20862ae8010416eb903a6b766ce76272e801587176be60463a523ce8014fb55711aee481e80193cd
38	0x11c0ba	0x11c200	0x146	85	85	41	0	0	af0fd2fd011cdf5d0c7634d7b530dc45d59bc7b5993e8cd2a0cb3521c04132c5	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	1c00000210624f183b685dbdd72a99e801bab5ab1ba6ab8037c2ab00b496e8019ec038ae5e813ad512bde52d12e8015f9ca0754d54a803f02800e8018afdc415	e8bde30be8011089e8e5b6fa003d019ce95ebd5f63c1b68a30230840162874969fbdfc27003d016133bd4242d161125f8001d87e3a780b262b730796113d0185
39	0x11c211	0x11c276	0x65	19	19	17	0	0	0b3c25fdb38a5945b2d2ac2b3ba83d0d4010c09bf755793711acb2866030d9dc	18:2,168:2,322:1,183:1,49:1,108:1,64:1,28:1	168:2,322:1,183:1,49:1,108:1,64:1,28:1,200:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	88052a235626d97cc68c97e801667f00c8683d01e0f23b1978d6400688f981105d4005ef6786d600b9e43d01af9a97986f9a80153e3a79c5cb100410d300250d	86d600b9e43d01af9a97986f9a80153e3a79c5cb100410d300250d003d01e8f8a5000000540000001c00400510ef5536d52d0851a81008d2e15d1bc0433d0100
40	0x11c2aa	0x11c3f9	0x14f	90	90	46	0	0	ff54c0157366c09d5d72715920edc65580e786ae28bbb34350397635d60308a5	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	1c006005107baee30ec7e01fb70809e8011201cc46c126003d012bf18eb89ac4f4d890c3737f4d3f01379a04e2e2b6003d01a7baf2811e360417b300351db4ab	85329637e7e8017f01011deae06db3c3e801aa7d6c3528fe3c6cace801fdf29b863a8a85f5cee801a5c1242bc89b7d3204d711e80196a8e0d9c04026e8018577
