entry	target	observed_target	target_hits	tail_site	tail_reg	tail_distance	tail_site_hits	source_events	unique_vm_ips	top_ip_deltas	top_targets	top_sites	static_stop	insns	span_bytes	cond_jumps	jmps	calls	rets	frame_reads	frame_writes	ip_reads	table_reads	top_mnemonics
0	0x78561	1	89	0x78833	rdx	0x2d2	89	89	5	+0x5:89	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	tail@0x78833:89	0x78843	173	734	5	1	0	0	0xa:4,0x0:2,0x71:2,0x194:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0xa:1	+0x2/2:2,+0x4/1:1,+0x0/2:1	dyn/8:1	add:43,mov:42,sub:19,xor:16,or:13,and:13,cmp:5,jne:4
1	0x78835	0	0	0x78c74	r12	0x43f	0	0	0				0x78c84	244	1103	2	1	0	1	0xa:6,0x23:6,0x170:3,0x71:2,0xbb:1,0x81:1,0x194:1,0x10f:1	0x170:8,0x23:6,0x1dc:1,0x60:1,0xa:1	+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x2/4:1,+0x2/8:1,+0x0/2:1	dyn/8:1	mov:84,add:72,and:21,xor:16,pop:15,or:14,sub:12,cmp:2
2	0x788e2	0	0	0x78c74	r12	0x392	0	0	0				0x78c84	197	930	2	1	0	0	0x23:6,0xa:3,0x170:3,0x71:2,0x81:1,0x194:1,0x10f:1	0x170:8,0x23:6,0x60:1,0xa:1	+0x2/4:1,+0x2/8:1,+0x0/2:1	dyn/8:1	mov:66,add:60,and:21,xor:16,or:14,sub:12,cmp:2,je:2
3	0x78c77	1	3433	0x792f5	r15	0x67e	3433	3433	401	+0x5:3433	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418	tail@0x792f5:3433	0x79305	363	1678	3	3	0	0	0x71:4,0x81:3,0xa:3,0x194:2,0x23:2,0x170:2,0x0:2,0x60:2,0x10f:1	0x170:7,0x71:2,0x0:1,0x60:1,0x23:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	add:95,mov:79,xor:53,sub:43,and:43,or:36,cmp:4,je:3
4	0x792f8	0	0	0x79672	r10	0x37a	0	0	0				0x79682	197	903	0	1	0	0	0x170:5,0x194:4,0x23:3,0x0:2,0x81:2,0xa:2,0x10f:1	0x170:8,0x23:3,0x16f:1,0x0:1,0xa:1	+0x0/4:1,+0x4/2:1	dyn/8:1	mov:67,add:62,or:23,xor:19,sub:12,and:10,cmp:2,movzx:1
5	0x79675	1	1	0x799c4	r14	0x34f	0	0	0				0x799d4	185	860	1	2	0	1	0xa:9,0xbb:1,0x81:1,0x199:1,0x10f:1,0x170:1	0x1dc:1,0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:58,add:47,sub:17,pop:15,xor:14,and:14,or:9,movzx:5
6	0x7971e	0	0	0x799c4	r14	0x2a6	0	0	0				0x799d4	138	691	1	2	0	0	0xa:6,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:40,add:35,sub:17,xor:14,and:14,or:9,movzx:5,jmp:2
7	0x799c7	0	0	0x79da1	rax	0x3da	0	0	0				0x79db1	228	1002	5	1	0	1	0xa:6,0x60:2,0x0:2,0x23:1,0x194:1,0x71:1,0x10f:1	0x71:2,0x1dc:1,0x60:1,0x0:1,0x170:1,0xa:1	+0x0/2:2,+0x3/2:2,+0x2/2:1,+0x2/1:1	dyn/8:1	mov:67,add:55,xor:21,sub:17,pop:16,or:12,and:11,popfq:5
8	0x79a3d	0	0	0x79da1	rax	0x364	0	0	0				0x79db1	192	884	5	1	0	0	0xa:4,0x60:2,0x0:2,0x23:1,0x194:1,0x71:1,0x10f:1	0x71:2,0x60:1,0x0:1,0x170:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:55,add:48,xor:21,sub:17,or:12,and:11,cmp:5,jne:4
9	0x79da3	1	3	0x7a04c	r8	0x2a9	3	3	1	+0x5:3	256@0xad849:3	tail@0x7a04c:3	0x7a05c	152	696	5	1	0	0	0xa:3,0x0:2,0x194:2,0x71:1,0x81:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x170:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	add:41,mov:38,xor:16,sub:14,or:11,and:10,cmp:5,jne:4
10	0x7a04f	0	0	0x7a4d6	rdx	0x487	0	0	0				0x7a4e6	259	1170	9	5	0	0	0x0:5,0x170:5,0x81:5,0x194:3,0xa:3,0x23:2,0x60:2,0x71:2,0x10f:1	0x170:4,0x23:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:81,add:75,sub:26,or:17,xor:16,cmp:12,and:11,je:5
11	0x7a4d8	0	0	0x7acd6	rsi	0x7fe	0	0	0				0x7ace6	459	2061	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0x170:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:99,add:95,and:74,or:38,xor:32,sub:29,jne:25,cmp:22
12	0x7acd8	0	0	0x7aee6	rax	0x20e	0	0	0				0x7aef6	118	541	1	2	0	0	0xa:4,0x23:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x4/2:1,+0x6/2:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:32,mov:28,and:16,sub:13,or:11,xor:8,movzx:4,jmp:2
13	0x7aee8	1	5	0x7b3bb	r12	0x4d3	5	5	2	+0x5:5	256@0xad849:4,257@0xadbfd:1	tail@0x7b3bb:5	0x7b3cb	272	1248	9	2	0	0	0x0:5,0x81:4,0x23:4,0xa:3,0x71:3,0x170:3,0x60:2,0x194:2,0x10f:1	0x23:4,0x71:2,0x170:2,0x60:1,0x0:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:82,add:74,xor:24,sub:23,or:20,and:19,cmp:12,je:5
14	0x7b3be	0	0	0x7b6c9	rbx	0x30b	0	0	0				0x7b6d9	162	794	3	1	0	0	0xa:4,0x0:2,0x60:2,0xe1:1,0x23:1,0x71:1,0x10f:1	0x71:2,0x170:2,0x0:1,0x60:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:46,add:39,xor:23,sub:21,or:13,and:7,cmp:3,jne:2
15	0x7b6cb	0	0	0x7bae7	rdx	0x41c	0	0	0				0x7baf7	244	1067	5	2	0	1	0xa:5,0x60:2,0x0:2,0x71:2,0x23:1,0xe1:1,0x10f:1,0x81:1	0x170:2,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x0/4:2,+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:66,add:60,sub:26,xor:21,pop:18,and:15,or:13,cmp:5
16	0x7b77c	0	0	0x7bae7	rdx	0x36b	0	0	0				0x7baf7	190	890	3	1	0	0	0xa:3,0x60:2,0x0:2,0x71:2,0x23:1,0xe1:1,0x10f:1,0x81:1	0x170:2,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:52,add:50,sub:26,xor:21,and:15,or:13,cmp:3,jne:2
