entry	target	observation	events	unique_vm_ips	delta	shape	constant_bytes	frame_reads	frame_writes	ip_reads	table_reads	calls	rets	target_entropy	top_targets	top_sites	top_deltas
131	0x937d0	exact	66	18	+0x5	VVVCC	b3=0x3d,b4=0x01	0x23,0x81,0xa,0x60,0x0,0x170,0x194,0x71,0x10f	0x23,0x170,0x71,0x60,0x0,0xa	+0x0/1,+0x3/2,+0x1/2	dyn/8	0	0	1.978	144@0x95887:31,173@0x9ba74:15,108@0x8f24b:10,160@0x994cf:4,352@0xc1ec4:2,198@0xa037e:2	tail@0x93f76:66	+0x5:66
132	0x93f79	unobserved	0	0	-	-	-	0xa,0x23,0x170,0x81,0xbb,0x194,0x0,0x10f	0x23,0x170,0x1dc,0x16f,0x0,0xa	+0x0/2,+0x2/4,+0x2/2,+0x0/4,+0x4/2	dyn/8	0	2	0.000			
133	0x93ff3	unobserved	0	0	-	-	-	0xa,0x23,0x170,0x81,0x194,0x0,0x10f	0x23,0x170,0x1dc,0x16f,0x0,0xa	+0x0/2,+0x2/2,+0x0/4,+0x4/2	dyn/8	0	1	0.000			
134	0x9406d	unobserved	0	0	-	-	-	0x23,0x170,0x81,0xa,0x194,0x0,0x10f	0x23,0x170,0x16f,0x0,0xa	+0x0/4,+0x4/2	dyn/8	0	0	0.000			
135	0x94478	unobserved	0	0	-	-	-	0xa,0x170,0x0,0x199,0x10f	0xa	+0x0/2,+0x7/2,+0x3/2,+0x5/2	dyn/8	0	0	0.000			
136	0x9461b	exact	2	1	+0x5	CCCCC	b0=0x75,b1=0xd8,b2=0x3d,b3=0x01,b4=0x5b	0xa,0x0,0x60,0x71,0x194,0x10f,0x170	0x71,0x60,0x0,0x170,0xa	+0x2/2,+0x4/1,+0x0/2	dyn/8	0	0	0.000	198@0xa037e:2	tail@0x94970:2	+0x5:2
137	0x94973	unobserved	0	0	-	-	-	0xa,0x170,0x0,0x199,0x10f	0x170,0xa	+0x0/2,+0x4/2,+0x6/2,+0x2/2	dyn/8	0	0	0.000			
138	0x94c3a	unobserved	0	0	-	-	-	0xa,0x170,0x81,0x10f	0x23,0x170,0xa	+0x6/2,+0x4/2,+0x2/2,+0x0/2	dyn/8	0	0	0.000			
139	0x94ddf	unobserved	0	0	-	-	-	0x23,0xa,0x170,0x81,0x0,0x194,0xbb,0x10f	0x23,0x170,0x1dc,0x60,0xa	+0x0/4,+0x4/2,+0x2/4,+0x0/2	dyn/8	0	1	0.000			
140	0x94e5a	exact	2190	248	+0x6	VVVVVV	-	0x23,0x170,0x81,0x0,0x194,0xa,0x10f	0x23,0x170,0x60,0xa	+0x2/4,+0x0/2	dyn/8	0	0	2.537	64@0x85059:260,189@0x9e7af:224,185@0x9d964:208,347@0xc088d:189,37@0x80685:132,17@0x7bae9:125	tail@0x951c0:2190	+0x6:2190
141	0x951c2	unobserved	0	0	-	-	-	0xa,0x71,0x10f,0x170	0xa	+0x6/2,+0x0/2,+0x4/2,+0x2/2	dyn/8	0	0	0.000			
142	0x953b1	sampled_long_or_sparse	1	1	+0xa	sampled	-	0x23,0x170,0x0,0xa,0x81,0x194,0x10f	0x170,0x23,0x60,0xa	+0x0/4,+0x0/8,+0x8/2	dyn/8	0	0	0.000	83@0x8947b:1	tail@0x957d6:1	+0xa:1
143	0x957d9	unobserved	0	0	-	-	-	0xa,0x0,0x194,0x81,0x170,0xbb,0x71,0x16f,0x23,0x10f	0x170,0x23,0x1dc,0xa	+0x6/2,+0x4/2,+0x0/4,+0x0/2	dyn/8	0	1	0.000			
144	0x95887	exact	5216	619	+0x2	VV	-	0x0,0x194,0x81,0x170,0x71,0x16f,0x23,0x10f,0xa	0x170,0x23,0xa	+0x0/2	dyn/8	0	0	2.501	258@0xadf2c:577,268@0xb0007:365,18@0x7be9b:315,168@0x9aa83:310,114@0x90319:236,347@0xc088d:211	tail@0x95b59:5216	+0x2:5216
145	0x95b5c	sampled_long_or_sparse	142	13	+0x139	sampled	-	0xa,0x10f,0x12	0x12,0xa	+0x8/2,+0xa/1,+0x0/2,+0x4/4	dyn/8	0	0	0.436	354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4	tail@0x9634f:142	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2
146	0x96407	exact	578	101	+0x5	EVVVV	-	0x23,0x170,0xa,0x71,0x0,0x81,0x10f	0x170,0x23,0x60,0xa	+0x3/2,+0x0/1,+0x1/2	dyn/8	0	0	2.148	258@0xadf2c:186,172@0x9b68a:98,70@0x8610e:64,28@0x7e390:30,199@0xa0631:25,79@0x885b0:21	tail@0x96915:578	+0x5:578
147	0x96918	unobserved	0	0	-	-	-	0xa,0x0,0x71,0x23,0x10f	0x71,0x0,0x170,0xa	+0x0/1,+0x3/2,+0x1/2	dyn/8	0	0	0.000			
148	0x96b6e	exact	144	18	+0x5	CCVVV	b0=0x3d,b1=0x01	0xa,0x71,0x0,0x60,0x23,0x194,0x10f,0x170	0x71,0x0,0x170,0x60,0xa	+0x0/2,+0x2/1,+0x3/2	dyn/8	0	0	1.988	160@0x994cf:74,144@0x95887:25,352@0xc1ec4:23,173@0x9ba74:12,257@0xadbfd:6,108@0x8f24b:4	tail@0x96eb1:144	+0x5:144
149	0x96eb4	unobserved	0	0	-	-	-	0xa,0x0,0x60,0x194,0x71,0x23,0x10f	0x71,0x170,0x1dc,0x60,0x0,0xa	+0x0/2,+0x2/2,+0x4/1	dyn/8	0	1	0.000			
150	0x96f2a	unobserved	0	0	-	-	-	0xa,0x0,0x60,0x194,0x71,0x23,0x10f	0x71,0x170,0x60,0x0,0xa	+0x0/2,+0x4/1,+0x2/2	dyn/8	0	0	0.000			
151	0x97311	exact	45	12	+0x5	CCVVV	b0=0x3d,b1=0x01	0xa,0x60,0x0,0x194,0x71,0x23,0x10f,0x170	0x71,0x170,0x60,0x0,0xa	+0x0/2,+0x2/1,+0x3/2	dyn/8	0	0	2.155	198@0xa037e:16,173@0x9ba74:12,352@0xc1ec4:7,160@0x994cf:6,144@0x95887:4	tail@0x97689:45	+0x5:45
152	0x9768c	unobserved	0	0	-	-	-	0xa,0x170,0x199,0x0,0x10f	0x170,0xa	+0x9/2,+0x1/2,+0x7/2,+0x0/1,+0x3/2,+0x5/2	dyn/8	0	0	0.000			
153	0x979ab	exact	10	2	+0x5	EECCE	b2=0x3d,b3=0x01	0xa,0x0,0x60,0x170,0x194,0x71,0x10f,0x23	0x71,0x0,0x60,0x170,0xa	+0x2/2,+0x4/1,+0x0/2	dyn/8	0	0	1.000	144@0x95887:5,173@0x9ba74:5	tail@0x97ce3:10	+0x5:10
154	0x97ce6	exact	2207	252	+0x4	VVVV	-	0x23,0x170,0xa,0x81,0x194,0x71,0x10f	0x23,0x170,0x60,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.427	91@0x8b6de:389,180@0x9cf32:275,196@0x9fbcd:157,185@0x9d964:156,105@0x8e6b4:134,215@0xa4609:104	tail@0x980a9:2207	+0x4:2207
155	0x980ab	unobserved	0	0	-	-	-	0xa,0x170,0x0,0x199,0x10f	0x170,0xa	+0x0/2,+0x4/2,+0x6/2,+0x2/2	dyn/8	0	0	0.000			
156	0x98354	unobserved	0	0	-	-	-	0x23,0x194,0x0,0xa,0x81,0x170,0x60,0x71,0x10f	0x23,0x170,0x71,0x0,0x60,0xa	+0x4/1,+0x0/2,+0x2/2	dyn/8	0	0	0.000			
157	0x98a9a	exact	14692	1395	+0x4	VVVE	-	0x23,0x170,0x81,0xa,0x0,0x71,0x194,0x10f	0x23,0x170,0x81,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.581	18@0x7be9b:993,199@0xa0631:922,66@0x855ff:885,340@0xbf435:831,64@0x85059:828,185@0x9d964:813	tail@0x99026:14692	+0x4:14692
158	0x99029	exact	9431	804	+0x4	CCVV	b0=0xe8,b1=0x01	0x170,0x0,0x23,0x194,0xa,0x71,0x81,0x10f	0x170,0x23,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.568	340@0xbf435:989,189@0x9e7af:726,337@0xbec0e:710,18@0x7be9b:695,258@0xadf2c:648,64@0x85059:648	tail@0x992ca:9431	+0x4:9431
159	0x992cd	unobserved	0	0	-	-	-	0xa,0x23,0x199,0x194,0x10f,0x170,0x81	0x23,0x170,0xa	+0x2/2,+0x0/2,+0x6/2,+0x4/2	dyn/8	0	0	0.000			
160	0x994cf	exact	5207	576	+0x2	VV	-	0x81,0x71,0x170,0x194,0x16f,0x23,0x0,0xa,0x10f	0x170,0x23,0xa	+0x0/2	dyn/8	0	0	2.577	185@0x9d964:351,215@0xa4609:346,43@0x8173d:319,18@0x7be9b:310,172@0x9b68a:268,157@0x98a9a:268	tail@0x99757:5207	+0x2:5207
161	0x9975a	exact	9481	818	+0x4	VVCC	b2=0xe8,b3=0x01	0x81,0x0,0xa,0x170,0x194,0x23,0x10f	0x23,0x170,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.577	28@0x7e390:776,337@0xbec0e:707,340@0xbf435:650,18@0x7be9b:637,64@0x85059:606,258@0xadf2c:559	tail@0x99b3a:9481	+0x4:9481
162	0x99b3c	unobserved	0	0	-	-	-	0xa,0x199,0x10f	0x170,0xa	+0x7/2,+0x3/2,+0x5/2,+0x2/1,+0x0/2,+0x9/2	dyn/8	0	0	0.000			
163	0x99e21	unobserved	0	0	-	-	-	0xa,0x0,0x60,0x194,0x71,0x23,0x10f,0x170	0x170,0x71,0x1dc,0x0,0x60,0xa	+0x2/2,+0x0/2,+0x4/1	dyn/8	0	1	0.000			
164	0x99e99	unobserved	0	0	-	-	-	0xa,0x0,0x60,0x194,0x71,0x23,0x10f,0x170	0x170,0x71,0x0,0x60,0xa	+0x2/2,+0x4/1,+0x0/2	dyn/8	0	0	0.000			
165	0x9a24c	exact	1825	159	+0x2	VE	-	0x170,0x0,0x71,0x23,0x194,0xa,0x10f	0x170,0x23,0xf3,0xa	+0x0/2	dyn/8	0	0	2.528	114@0x90319:356,333@0xbd8af:215,340@0xbf435:198,268@0xb0007:188,203@0xa1484:186,18@0x7be9b:159	tail@0x9a46b:1825	+0x2:1825
166	0x9a46e	unobserved	0	0	-	-	-	0x170,0x23,0x81,0x71,0xa,0x0,0x10f	0x170,0x23,0x16f,0x0,0xa	+0x2/4,+0x0/2	dyn/8	0	0	0.000			
167	0x9a8d2	exact	2509	174	+0x6	CCCCVV	b0=0xe8,b1=0x01,b2=0x3d,b3=0x01	0xa,0x23,0x71,0x10f,0x170	0x23,0x170,0xa	+0x2/2,+0x0/2,+0x4/2	dyn/8	0	0	1.471	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457	tail@0x9aa81:2509	+0x6:2509
168	0x9aa83	exact	14366	1365	+0x4	VVVV	-	0x23,0x81,0xa,0x71,0x10f,0x170	0x23,0x170,0x81,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.580	340@0xbf435:964,258@0xadf2c:861,337@0xbec0e:838,305@0xb78b0:795,189@0x9e7af:776,26@0x7dbbb:749	tail@0x9af16:14366	+0x4:14366
169	0x9af18	exact	1796	71	+0x4	EECC	b2=0xe8,b3=0x01	0x170,0x0,0xa,0x194,0x10f	0x170,0x23,0xa	+0x2/2,+0x0/2	dyn/8	0	0	1.531	171@0x9b4b3:756,354@0xc2241:658,165@0x9a24c:382	tail@0x9b0c5:1796	+0x4:1796
170	0x9b0c8	unobserved	0	0	-	-	-	0xa,0x194,0x199,0x81,0x23,0x10f,0x170	0x23,0x170,0xa	+0x9/2,+0x3/2,+0x5/2,+0x0/1,+0x1/2,+0x7/2	dyn/8	0	0	0.000			
171	0x9b4b3	exact	2533	185	+0x2	VE	-	0x23,0x71,0xa,0x10f	0x170,0x23,0xf3,0xa	+0x0/2	dyn/8	0	0	2.518	196@0x9fbcd:352,337@0xbec0e:328,322@0xbb3c9:256,333@0xbd8af:191,43@0x8173d:186,66@0x855ff:152	tail@0x9b687:2533	+0x2:2533
172	0x9b68a	exact	12529	1092	+0x4	VVVV	-	0x170,0x0,0x23,0x71,0x81,0xa,0x10f	0x170,0x23,0x81,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.577	28@0x7e390:851,258@0xadf2c:760,199@0xa0631:756,305@0xb78b0:674,340@0xbf435:647,189@0x9e7af:642	tail@0x9ba72:12529	+0x4:12529
173	0x9ba74	exact	5101	535	+0x2	VV	-	0x71,0x81,0x170,0x194,0x23,0x16f,0x0,0x10f,0xa	0x170,0x23,0xa	+0x0/2	dyn/8	0	0	2.552	64@0x85059:483,196@0x9fbcd:369,337@0xbec0e:364,340@0xbf435:287,114@0x90319:283,349@0xc140b:264	tail@0x9bd8c:5101	+0x2:5101
174	0x9bd8f	exact	11741	889	+0x4	VVCC	b2=0xe8,b3=0x01	0x81,0x23,0x170,0x0,0x194,0x71,0xa,0x10f	0x170,0xa	+0x2/2,+0x0/2	dyn/8	0	0	2.568	28@0x7e390:1082,258@0xadf2c:1081,114@0x90319:941,347@0xc088d:812,337@0xbec0e:757,185@0x9d964:748	tail@0x9c08c:11741	+0x4:11741
175	0x9c08f	central_or_long	1	1	+0x2cef7	sampled	-	0xa,0x71,0x23,0x170,0x0,0x194,0xbb,0x81,0x10f	0x170,0x1dc,0x23,0xa	+0x0/4,+0x4/2,+0x0/2,+0x2/2	dyn/8	0	1	0.000	310@0xb8556:1	dispatch@0xcdac7:1	+0x2cef7:1
176	0x9c10b	exact	10132	878	+0x4	CCVV	b0=0xe8,b1=0x01	0x71,0x23,0x170,0x0,0x194,0xa,0x81,0x10f	0x170,0x23,0xa	+0x0/2,+0x2/2	dyn/8	0	0	2.577	307@0xb8064:958,28@0x7e390:933,189@0x9e7af:820,340@0xbf435:797,18@0x7be9b:752,337@0xbec0e:714	tail@0x9c3f4:10132	+0x4:10132
177	0x9c3f7	unobserved	0	0	-	-	-	0xa,0x10f	0x199,0x170,0xa	+0x3/2,+0x2/1,+0x0/2	dyn/8	0	0	0.000			
178	0x9c74a	unobserved	0	0	-	-	-	0xa,0x81,0x199,0x10f	0xa	+0x9/2,+0x2/2,+0x0/2,+0x6/1,+0x7/2,+0x4/2	dyn/8	0	0	0.000			
