delta	shape	constant_bytes	events	entries	unique_signatures	top_entries	top_targets	top_sites
+0x2	VE	-	6230	3	522	171@0x9b4b3:2533,354@0xc2241:1872,165@0x9a24c:1825	268@0xb0007:515,337@0xbec0e:459,340@0xbf435:446,157@0x98a9a:412,333@0xbd8af:409,114@0x90319:407	tail@0x9b687:2533,tail@0xc240d:1872,tail@0x9a46b:1825
+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	5941	2	833	3@0x78c77:3433,83@0x8947b:2508	160@0x994cf:971,173@0x9ba74:925,257@0xadbfd:789,144@0x95887:756,352@0xc1ec4:702,108@0x8f24b:684	tail@0x792f5:3433,tail@0x89839:2508
+0x5	CVVCC	b0=0x00,b3=0x3d,b4=0x01	5042	3	460	49@0x82820:4132,99@0x8c99a:695,217@0xa4b11:215	144@0x95887:1089,198@0xa037e:978,352@0xc1ec4:667,257@0xadbfd:593,173@0x9ba74:548,160@0x994cf:523	tail@0x82e73:4132,tail@0x8cc7f:695,tail@0xa4df4:215
+0x6	CCCCVV	b0=0xe8,b1=0x01,b2=0x3d,b3=0x01	4358	3	361	167@0x9a8d2:2509,40@0x8115d:928,119@0x90ebc:921	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457,64@0x85059:289,28@0x7e390:224,340@0xbf435:207	tail@0x9aa81:2509,tail@0x8129b:928,tail@0x91067:921
+0x5	EVVVV	-	3926	5	494	128@0x9299b:1158,208@0xa2361:802,179@0x9ca8d:737,292@0xb540f:651,146@0x96407:578	268@0xb0007:397,307@0xb8064:315,185@0x9d964:285,215@0xa4609:285,64@0x85059:275,258@0xadf2c:226	tail@0x92f1f:1158,tail@0xa2933:802,tail@0x9cf2f:737,tail@0xb593d:651,tail@0x96915:578
+0x5	VVCCC	b2=0x3d,b3=0x01,b4=0x00	3633	1	417	79@0x885b0:3633	257@0xadbfd:865,198@0xa037e:745,160@0x994cf:451,108@0x8f24b:397,144@0x95887:373,256@0xad849:350	tail@0x88a55:3633
+0x5	VVCCV	b2=0x3d,b3=0x01	2981	5	319	192@0x9f00a:2338,122@0x9170d:498,245@0xab141:75,348@0xc0d7d:37,74@0x86d43:33	198@0xa037e:516,257@0xadbfd:426,108@0x8f24b:395,256@0xad849:325,144@0x95887:321,173@0x9ba74:190	tail@0x9f779:2338,tail@0x91a57:498,tail@0xab424:75,tail@0xc1409:37,tail@0x873fa:33
+0x5	CCVVC	b0=0xe8,b1=0x01,b4=0x10	2823	2	226	351@0xc1d48:1844,295@0xb60e0:979	258@0xadf2c:406,28@0x7e390:286,297@0xb64d7:258,66@0x855ff:213,189@0x9e7af:192,43@0x8173d:190	tail@0xc1ec2:1844,tail@0xb625a:979
+0x5	CCVVV	b0=0x3d,b1=0x01	2444	5	282	319@0xba72f:1850,190@0x9eacb:224,242@0xaa87d:181,148@0x96b6e:144,151@0x97311:45	173@0x9ba74:583,257@0xadbfd:416,144@0x95887:283,352@0xc1ec4:254,160@0x994cf:241,108@0x8f24b:211	tail@0xbada2:1850,tail@0x9ede7:224,tail@0xaab67:181,tail@0x96eb1:144,tail@0x97689:45
+0x5	VCCVV	b1=0x3d,b2=0x01	2130	2	245	320@0xbada5:2080,186@0x9dcae:50	173@0x9ba74:385,198@0xa037e:373,256@0xad849:316,257@0xadbfd:259,160@0x994cf:247,352@0xc1ec4:226	tail@0xbb1db:2080,tail@0x9e07a:50
+0x4	EECC	b2=0xe8,b3=0x01	1796	1	71	169@0x9af18:1796	171@0x9b4b3:756,354@0xc2241:658,165@0x9a24c:382	tail@0x9b0c5:1796
+0x6	VVCCCC	b2=0x3d,b3=0x01,b4=0xe8,b5=0x01	1752	1	178	338@0xbf128:1752	283@0xb3612:648,351@0xc1d48:582,295@0xb60e0:522	tail@0xbf2d3:1752
+0x4	CCEE	b0=0xe8,b1=0x01	1614	1	63	310@0xb8556:1614	165@0x9a24c:666,354@0xc2241:566,171@0x9b4b3:382	tail@0xb86f5:1614
+0x5	CCCVV	b0=0x10,b1=0xe8,b2=0x01	1438	1	126	283@0xb3612:1438	333@0xbd8af:186,215@0xa4609:185,168@0x9aa83:184,258@0xadf2c:168,185@0x9d964:98,307@0xb8064:97	tail@0xb3799:1438
+0x6	CCCCVV	b0=0x3d,b1=0x01,b2=0xe8,b3=0x01	1407	1	84	181@0x9d13f:1407	215@0xa4609:256,189@0x9e7af:189,297@0xb64d7:120,337@0xbec0e:108,347@0xc088d:100,340@0xbf435:98	tail@0x9d24a:1407
+0x5	VVEVV	-	1357	3	255	17@0x7bae9:758,330@0xbc9b8:316,48@0x82477:283	300@0xb6c36:265,122@0x9170d:162,28@0x7e390:146,18@0x7be9b:110,260@0xae90b:96,92@0x8b8cb:45	tail@0x7be98:758,tail@0xbcfc5:316,tail@0x8281e:283
