segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
10	0xd4897	0xd4a83	0x1ec	132	132	46	0	0	238d3dffd2d2b3b2c5af0d69a02dd6fe5fd981128ea5796ce11756975d83af06	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	+0x4:88,+0x3:35,+0x2:4,+0x5:3,+0x6:2	510188949900530c3a14689dd9d23ce801e08a3adc5f22ca72ecadd7c23ce801f248f95840059cc941a5d9d420e801638928005801bd808b54f73626e8015b6d	a66c7fd49fe8018b16e1fee49bf02dbae801f4b63b59fed632977ab7aae801777728ba8635afe801029adbab3ae30f2f83664ee8018a0ad4fc111f0be80142a0
11	0xd4a91	0xd4beb	0x15a	91	91	42	0	0	7cad8b106b8f3cd28b68be9dc0c8276fefb6c33e49cc6f9a600cfbc4b1bffcd6	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	+0x4:59,+0x3:20,+0x5:6,+0x2:4,+0x6:2	c700474f3a648cae0180b42dd7e801fcb469333a6656dcd01f531739c62ae801cead55d8014a3a24bba00aec3fe80144a22800b3900fe40801fee80136805f7d	da91c20e8a3f3f3d51492c7a1db100f9343d01f79bd66c4ed33a79852313030aacdfa9761c003d0105a4f709dbe913000ba1227bb5c683ac4a18cdf8c8cb3d01
12	0xd4bfc	0xd4cb9	0xbd	51	51	21	0	0	13cf741daca693972bb2b4f06d823547fa10a09ca9166aca7aaafc2386761665	28:6,184:4,258:4,185:3,174:3,176:3,340:3,64:2	28:6,184:4,258:4,174:3,176:3,340:3,185:2,64:2	+0x4:33,+0x3:17,+0x6:1	2b193ad015e80184fab176d3823af285e801e801d7643d01b98373362f8c3aedc1e801c216ec10affce7e8018ca10a0744dac64ab985bbe801564f318c358ce7	aaeee005faea3be801983d23017005c417afe801a00aea707d2800e80115e71c069087d7037ae8010a6da9b45c6b800573e801204590038c7b4184f3eb17e801
13	0xd4cc7	0xd4e92	0x1cb	122	122	42	0	0	993b01dfee0ce34233c3687b161be763b10535d6f22fef092e502813d3d16f44	307:8,340:7,18:7,43:5,189:5,337:5,20:5,157:4	307:8,340:7,18:7,43:5,189:5,337:5,20:5,157:4	+0x4:82,+0x3:33,+0x6:3,+0x2:2,+0x5:2	c7001f4f3a7412990087cc9900e80174fda41bab006a1aa57a240e5fcd96e80103f189009d4038fbba0de8e8011442e4edfcdabe0dabfcfc28800a20e8010486	aca9223405e801dd0d0002ec9c60b341dafee8012d02ab82b5e60ee801b9f5309c89f675cae8e801607e79eef588f2ab00e9c1e8012946e2f0b81e6f804fe801
14	0xd4e9f	0xd4f6b	0xcc	54	54	23	0	0	1e03172b04113baef6d99d312efaf743b6090567f1f3c0f3a2c9c6d7fed9f5bf	28:5,184:5,199:4,114:4,340:4,64:3,20:3,123:3	28:5,184:5,114:4,340:4,64:3,20:3,123:3,199:3	+0x4:34,+0x3:17,+0x6:2,+0x5:1	8e46070457d2298ebb8ca5593f0863a7b0135fbd3d010002d09ca20b37e801d759e8013d01900354b71bfed41d3aca1ee80152dc79000805beaa74e801d80abc	370113acf1783ae801a9a6fe0cc5f8ebe80183d0d82017cf0805477ef5e801feb3394ba00054e8018d75041dab00da35afe80162456ea507c6c00548dcb3e801
15	0xd4f78	0xd5044	0xcc	54	54	23	0	0	95e6ccb750278019e6c7599902695d2ba29115d2c7a7cfb7e4fcca467a1239df	258:4,66:4,18:4,189:4,158:4,64:3,340:3,176:3	258:4,66:4,18:4,189:4,158:4,340:3,176:3,28:3	+0x4:34,+0x3:17,+0x6:2,+0x5:1	cb3307fd977cd863f007010d9943c64a918d893d0129871c3ae86c2d7008e0e801e8013d01e890b01c2af8a8b300e8017ad1eb0ff45a904afa18c0e801b091e8	00a9704756e80118d2f8492e503e3cdc2640e801018c28008d3158e8012c46a3675a655b24a4e801921210083c87ffdd28e801a3df5e0ce1ab01233be801524a
16	0xd5055	0xd521e	0x1c9	121	121	43	0	0	e35c436f814625d4890dfe965dee7d48b87186ba96db835ec0dd7f1a3503a467	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	a8009900ded07a4c2a7eb419f8639de801d3f4ab00d0bc2cab080148e80176334ba9db0f48e430e2f808ecb096e80187902b79179ac4d6e5683a56c7e8019f91	72c00805c461d0e8011a63c81367289c5280e801d0857f44c00566aa87e801c77bd92e57b5da3238e80199152ca1637c3a8275e801a00a689e469900e801a7dd
17	0xd522f	0xd53f8	0x1c9	122	122	42	0	0	aea2a008fee237df22b7d567fc68f6fc3c49adef7cd91790197fd1c0b53197ed	114:11,18:10,64:8,307:7,268:5,337:5,28:4,43:4	114:11,18:10,64:8,307:7,268:5,337:5,28:4,43:4	+0x4:83,+0x3:33,+0x2:2,+0x6:2,+0x5:2	cb00979b35767b8504bcf8084c50ade801c06e17bc2832c447e5acfe4f20e801a04cc62c8e8900c82c366d569ee8010da2bf0a89be123bdb28007ea7e801d009	47011fa15ce242e801bf427227d81fc7e80196b51c0cfa848d1c098677e801df45ad13287c6de801e6685c9a25a0f823fa8e4ae8015b66b47aa0003ae801d1f7
18	0xd5405	0xd54d1	0xcc	54	54	22	0	0	ffb8f8464b82b760c7fc2dc50927fad0acdea77e2613a3954b9574e047c4b118	258:6,123:6,64:4,307:4,337:4,28:3,189:3,18:3	258:6,123:6,64:4,307:4,337:4,28:3,189:3,18:3	+0x4:34,+0x3:17,+0x6:2,+0x5:1	f8d900b792856fac0701e805a3e8ee30e57e3f3d01b7b71f84d3a0007fe801a31ce801d7643d01a0461637e5286a8b4ee801c3c5b136c6df7c1e30e801961c84	c7f76a25af2b3be801c566a1d5cba83ab9d8e80117337601a0062ee8015819880a4c206901f6fcb7e801bf9598a5cfb7bac62de801bb9c7c9771c20c7655e801
19	0xd54de	0xd5641	0x163	95	95	45	0	0	6d281a2b60bb52b4cfe34e52492c7f3908e9549bba2f9edac13d8c5f9f00f10d	337:6,18:5,215:4,189:4,199:4,176:4,66:4,340:3	337:6,18:5,215:4,189:4,199:4,176:4,66:4,340:3	+0x4:54,+0x3:24,+0x5:7,+0x2:7,+0x6:3	dbf9680004c9863e7006e8011008dc3233585b003d01e71a3706ef9f14df0ec084da522d399c18db1023f6e9e2003d011a91338e40ad7c3b8c440429fdbc8801	4b01ea8f75f21ce80140dd2301f20ec4e80198db7a9bced8af11fb0250e8010853684faa27e3e801b6abc38967f48061eee801a57f382b1614f771ea540ee801
20	0xd564f	0xd57d4	0x185	102	102	47	0	0	4d6149b902ceac0e346033f74583e041ad8404db35d4eb3ad499d29343f66102	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3	+0x4:62,+0x3:22,+0x5:9,+0x2:6,+0x6:3	5101d89099005a0dabfd5599282fdde8011ba33afb8cef13265e44d84805e801a3a93a1bca956a3eb81b5c4d5ee801d8a5befb4b923aa768eed68598e8016005	bc58029050373968009d88ce003d014911930e6c8adce7dc773002f99c0a12219139dea24293003d015f843a819303feb72d3ab34413003382570664cf353d01
21	0xd5a12	0xd5b17	0x105	71	71	33	0	0	442b045186ffefaeac1b1e09f627975212850b410d733fe007fcc947e70947f4	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	+0x4:43,+0x3:20,+0x2:4,+0x5:3,+0x6:1	9d008bd79d01b69d7cc9d80d05fe8c753a0085b03d01178a6c92d300d684326b893584ddc773c3aa27003d0176459b694966d139eda8854b59b2780228fe233d	40dd0805885ecee801120954e0ff136ce801f64cd80a5c4a8d6c01d143e801e805c1ca7144a6e8017227b8f4ab0004ebc7e801b47534199900a0023ae8011cdd
22	0xd5b25	0xd5cfb	0x1d6	126	126	44	0	0	f4f5e7ac239a28e336a825dbfa5140bb988f3d28f29becf2676b368dcd9b6c29	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	+0x4:85,+0x3:34,+0x2:3,+0x6:2,+0x5:2	c4004f6e5cf4d321a680009a81e80139f90d1667df9298debe80f00206a2e80162080e7cd00b2a8b72242226d1e8011008241a9ff80acfbecb02769de801f81d	3a405f9ac98b56e801838db412082402ffc3e801000756dd229f98e8012db3340c10817005a6607ee801b853167cf103c2e801ba75e38e36f41a7d40acf3e801
23	0xd5d09	0xd5ebc	0x1b3	116	116	36	0	0	9c703d1fbace357000967632474b80320bc22dd56037dcc10f0d06a469b79a02	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	4000bda79900179a253b9d552a0e3ee801c77ce301f4bff498fbab00e80131f5d18de6d0a28c3a950550e91296e801b66910e35c06baff90d4d5e6a8e8016e5a	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
24	0xd718e	0xd73ae	0x220	145	145	53	0	0	30a11b4eab27d36b738d6f69853202af25d61370cfbbabc00d71687b93801559	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	525c5447016d59e801c862c7af0c057286d4e80157ce029c9128001f10e801ff96aeaead0b6809a2e8010002fc042dcf93e80133b7e3528415cf0f3ad5c3e801
25	0xd73bc	0xd75f1	0x235	150	150	55	0	0	ab9d674a40ec87d4ba72d368e11deecee2f039ed3e4510e4f7a4682ea8733b30	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	5b0108386209075fae31a99ddd1c0ce801ef9dae479fab0033836f0308bee8015474fb0f32a53a5967ece89d9ee801ff4a3ad39528fc43322800e801e1f03253	e82153fd3ae801c5033cef3920a7cfefe80101e33a95fbdac0043a5029e80147f02285804ce04632e801580b3a73b9ff097403e8019a6f55ab144af2e801e820
