source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
179	0x9ca8d	272	60	tail@0x9cf2f:272	18@0x7be9b:69,268@0xb0007:28,337@0xbec0e:26,43@0x8173d:19,203@0xa1484:15	+0x5:272	0x1288:64,0x8ab0:14,0x7e4c:13,0x8418:13,0x3d00:9	0xc6a:64,0x64be:14,0xe4c3:13,0xfa7c:13,0xd3:12	0x3b98:64,0x3d00:14,0x6393:14,0x90d2:13,0x9898:13	0x8703:64,0x3d00:22,0x638e:13,0x637:13,0xd5d8:9		
310	0xb8556	268	38	tail@0xb86f5:268	165@0x9a24c:113,354@0xc2241:92,171@0x9b4b3:63	+0x4:268	0x154:44,0x10c:32,0xcb:28,0x151:27,0x2b:18	0x1c4a:32,0x99:14,0x4f47:14,0x9ebf:14,0xf7c:14	0x99:123,0x7635:28,0x6c86:14,0x6576:14,0x543a:13	0x390:15,0x92e7:14,0xad8:14,0x7438:14,0xe367:14		
107	0x8eef4	256	1	tail@0x8f248:256	160@0x994cf:256	+0x5:256	0x2181:256	0xa66a:256	0x34b7:256	0x73d:256		
261	0xaeda2	250	46	tail@0xaeeff:250	347@0xc088d:102,297@0xb64d7:30,114@0x90319:30,18@0x7be9b:27,337@0xbec0e:18	+0x6:250	0x8696:64,0x390:14,0x3e59:13,0x30d6:13,0x9e8:13	0x77a:64,0xee0b:16,0x45c8:13,0x8c56:13,0x8aba:13	0x434:64,0x508:17,0x12b4:13,0xbb04:13,0x34a1:13	0xe83a:64,0xe8af:14,0xd4fb:13,0xe272:13,0xb80b:13		
119	0x90ebc	243	47	tail@0x91067:243	347@0xc088d:70,64@0x85059:29,28@0x7e390:28,340@0xbf435:26,337@0xbec0e:19	+0x6:243	0x86d6:64,0xaa0:26,0x1f6c:13,0x5f1b:13,0xb556:13	0x738:64,0xb3:27,0x3821:13,0xc53f:13,0x7c76:13	0x2dc:64,0xb36f:13,0x5c0:13,0x9248:13,0xb3c1:13	0xba3a:64,0xe800:14,0x4408:13,0x348c:13,0xdd00:13		
146	0x96407	238	62	tail@0x96915:238	70@0x8610e:64,258@0xadf2c:30,28@0x7e390:25,172@0x9b68a:19,79@0x885b0:18	+0x5:238	0x50d9:64,0x3d00:14,0xab00:13,0x5f0a:13,0x82ed:13	0x3d1b:64,0x13d:18,0x93:17,0xeba7:13,0x6b47:13	0xec01:64,0xf47b:13,0x9a58:13,0x9a17:13,0x3d00:8	0xe51b:64,0xb3:14,0xd33a:13,0x963f:13,0x13d:8		
40	0x8115d	236	51	tail@0x8129b:236	114@0x90319:69,66@0x855ff:21,64@0x85059:21,215@0xa4609:20,340@0xbf435:20	+0x6:236	0x6b49:65,0x10fc:14,0xa689:14,0x5561:14,0x4297:14	0x20e6:65,0xb3:20,0xa670:14,0x44b4:14,0x672a:14	0xb715:65,0xbc2:14,0xe472:14,0xb3fe:14,0xd091:14	0xe8dc:65,0x6ad4:14,0x9eb:14,0xdd00:14,0xe8dd:14		
217	0xa4b11	206	13	tail@0xa4df4:206	352@0xc1ec4:66,198@0xa037e:66,144@0x95887:64,108@0x8f24b:4,173@0x9ba74:3	+0x5:206	0xdbaa:64,0x8e2:64,0x9e0f:64,0x126:3,0xab28:2	0xe87a:64,0x6baa:64,0xf2e:64,0x7d4c:3,0x2983:2	0x977a:64,0x99:64,0x82f8:64,0x68:7,0x56b7:2	0x52b6:64,0x45:64,0x7fe9:64,0xcea9:3,0xb381:2		
295	0xb60e0	190	57	tail@0xb625a:190	258@0xadf2c:32,28@0x7e390:27,66@0x855ff:27,64@0x85059:18,43@0x8173d:16	+0x5:190	0x98c8:14,0xaa8f:14,0xb50a:13,0x9040:13,0x584:13	0x158e:14,0x68:14,0x67ea:13,0xebac:13,0x76c1:13	0x610f:14,0xab0:14,0x76cb:13,0x12f0:13,0xc279:13	0xe336:14,0xc01e:14,0xe57d:13,0x7641:13,0x47c2:13		
222	0xa5f3c	177	51	tail@0xa646d:177	220@0xa522e:66,297@0xb64d7:9,189@0x9e7af:9,269@0xb045b:9,268@0xb0007:8	+0x5:177	0x3d00:82,0xcb03:9,0xb360:4,0x18:4,0x9a7f:4	0x8301:64,0xe450:9,0x3d00:7,0xfb0f:5,0x8675:5	0xb25a:64,0x540:9,0x3d00:7,0x13d:5,0x3ce:5	0x1643:64,0x13d:15,0x5a48:9,0x8788:5,0xb0d2:5		
330	0xbc9b8	169	59	tail@0xbcfc5:169	18@0x7be9b:68,260@0xae90b:14,122@0x9170d:12,291@0xb4edd:9,349@0xc140b:6	+0x5:169	0xa80:64,0x94e:14,0x7bf2:12,0x3d00:8,0x37ad:4	0xf0e2:64,0x13d:15,0xa6:14,0x3d00:7,0xf848:4	0x600d:64,0x2b18:14,0x8d71:12,0x13d:4,0x3d00:4	0xf4:64,0x7be:14,0xfa7e:12,0x13d:7,0x4b0a:4		
282	0xb3128	165	58	tail@0xb360f:165	280@0xb2661:64,199@0xa0631:12,90@0x8b334:11,92@0x8b8cb:7,281@0xb2db6:7	+0x5:165	0x4837:64,0x3d99:5,0x24d0:5,0xcba1:4,0xf223:4	0x3dc5:64,0x6201:5,0x4c36:5,0x8610:4,0xeee6:4	0x3f01:64,0x4f9f:5,0x3d00:5,0x3d2c:5,0x13d:4	0x14fa:64,0x13d:10,0xd48a:5,0x7f01:5,0xef0f:4		
92	0x8b8cb	158	54	tail@0x8bcec:158	282@0xb3128:67,215@0xa4609:8,48@0x82477:7,18@0x7be9b:7,28@0x7e390:6	+0x4:158	0x222d:64,0xad3c:5,0xbc4:5,0xb03b:4,0xa655:4	0x5705:64,0x13d:11,0x3d00:7,0xce3a:5,0x5f50:5	0x3762:64,0x13d:5,0xe6f1:5,0x4f01:5,0x4346:5	0xc548:64,0x13d:10,0x165:5,0x73f:4,0x782a:4		
88	0x8aa14	145	9	tail@0x8b026:145	352@0xc1ec4:65,257@0xadbfd:64,173@0x9ba74:8,256@0xad849:6,108@0x8f24b:2	+0x5:145	0x9e0:64,0xc80f:64,0x8d8e:4,0x8ccb:4,0x4526:3	0xe15d:64,0xad0d:64,0x75df:4,0xf843:4,0xd03:3	0xe84c:64,0x29ab:64,0xf024:4,0xcffe:4,0x4cab:3	0x4503:64,0x55c8:64,0xa6a3:4,0xa88:4,0x2056:3		
129	0x92f21	136	9	tail@0x931d0:136	215@0xa4609:64,99@0x8c99a:64,217@0xa4b11:2,199@0xa0631:2,172@0x9b68a:1	+0x3:136	0x6c8:64,0x7d00:64,0x5b5f:2,0xab91:1,0x67cf:1	0x1e:64,0x3d36:64,0x87c0:2,0x833:1,0x85:1	0xc20c:64,0xae01:64,0x4f9e:2,0x3c5a:1,0x8aca:1	0x13d:64,0xe500:64,0x629a:2,0x7be6:1,0xfea6:1		
82	0x8920e	135	7	tail@0x89478:135	333@0xbd8af:65,99@0x8c99a:64,307@0xb8064:2,217@0xa4b11:2,168@0x9aa83:2	+0x3:135	0xdf00:64,0xd2e7:64,0xf5ce:2,0x662e:2,0xe1db:1	0x3d5e:64,0x91:64,0x5bae:2,0xd2cb:2,0xb3:1	0x4a01:64,0xd200:64,0x4e67:2,0xc462:2,0x45dd:1	0xa76d:64,0x3de5:64,0x62d5:2,0xe5c0:2,0x82:1		
308	0xb837c	123	12	tail@0xb84a4:123	171@0x9b4b3:107,354@0xc2241:16	-0x9de:64,-0x40:34,-0x51a4:13,-0x55d:4,-0x4e6:2	0xb9:64,0xc4:17,0x14d:13,0xc8:10,0x151:7	0xab1b:64,0x6e2f:17,0xe4d3:13,0x0:10,0x9ad0:7	0x2350:64,0xf59c:17,0x68:16,0x0:10,0x79:7	0x1788:64,0x401e:17,0xbc8d:13,0x638:10,0x79cb:7		
122	0x9170d	122	24	tail@0x91a57:122	210@0xa2da3:37,316@0xb987b:21,145@0x95b5c:16,258@0xadf2c:15,246@0xab427:12	+0x5:122	0xab:57,0x162:32,0xe928:14,0x7e8d:12,0xa5:5	0x0:94,0x7031:14,0xcafa:12,0xe83a:1,0xd384:1	0x30:40,0x6ef6:14,0x2d:13,0xc7d1:12,0x28b:11	0x0:94,0x4741:14,0xe898:12,0x870:1,0xe87f:1		
48	0x82477	119	59	tail@0x8281e:119	92@0x8b8cb:10,297@0xb64d7:10,52@0x833c7:10,300@0xb6c36:8,28@0x7e390:7	+0x5:119	0xe39:9,0x3d00:7,0x7ecf:5,0x65e6:5,0xb20a:5	0x3698:9,0x3d00:7,0x208:6,0x6a45:5,0x3d01:5	0xd4a3:9,0x13d:6,0xad26:5,0x6201:5,0xa501:5	0x7f0b:9,0x1:6,0x185f:5,0x640c:5,0x0:5		
356	0xc291a	116	12	dispatch@0xcdac7:110,dispatch@0xc80b9:6	310@0xb8556:61,169@0x9af18:55	+0xa:116	0x1e8:61,0x162:27,0xab:14,0xa5:14	0x1e8:55,0xa5:42,0x162:18,0xab:1	0x9d:27,0x10c:18,0xcb:14,0x154:14,0x72:14	0x1c4a:18,0x9ebf:14,0xf7c:14,0xd56f:14,0x64cb:14	0x99:54,0x7635:14,0xac8c:14,0x6c86:14,0xe964:13	0x390:14,0x92e7:14,0xad8:14,0x620:14,0x7438:14
