source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
203	0xa1484	814	136	tail@0xa1936:814	52@0x833c7:256,297@0xb64d7:110,258@0xadf2c:109,315@0xb9451:108,28@0x7e390:28	+0x4:814	0xb082:256,0x1e8:118,0xfcc3:102,0x3010:102,0x3d00:9	0x3d47:256,0x4e:102,0xefa5:102,0xf091:102,0x1e8:47	0xab01:256,0x13d:109,0x5a9e:102,0x5e8:102,0x1e8:15	0x0:256,0x1e8:109,0x6847:102,0xecda:102,0x13d:8	0x6d00:256,0x540:103,0x82af:102,0xb875:102,0x3d00:8	0x0:256,0x8a33:102,0x4c12:102,0x3a3:102,0x13d:6
300	0xb6c36	786	19	tail@0xb708a:786	258@0xadf2c:363,220@0xa522e:104,337@0xbec0e:102,333@0xbd8af:102,185@0x9d964:102	+0x4:786	0xabaf:256,0x3d00:104,0x2d40:102,0xe707:102,0x1066:102	0x4fd6:256,0x44ef:102,0x68:102,0x5af8:102,0x301:102	0x6600:256,0x2836:102,0x9cec:102,0x38f3:102,0xeb17:102	0x3d6d:256,0x68:104,0x13d:102,0xf4de:102,0xa703:102	0x1601:256,0x3d00:104,0x2700:102,0x3b9d:102,0x68e6:102	0x62db:256,0x5ab5:102,0xcb01:102,0xbe:102,0x9000:102
315	0xb9451	732	124	tail@0xb9878:732	28@0x7e390:211,347@0xc088d:111,167@0x9a8d2:108,215@0xa4609:103,258@0xadf2c:22	+0x4:732	0x1e8:108,0xad8:106,0x822d:102,0x810:102,0x5e8:102	0x13d:116,0x2ad:102,0x20ba:102,0xf3e8:102,0xecda:102	0x2685:102,0xa48d:102,0x65e1:102,0xb875:102,0x33d0:102	0x1e8:114,0x837a:102,0xdd01:102,0xf311:102,0x3a3:102	0x28f9:102,0x994f:102,0x5f74:102,0xaf32:102,0x221b:102	0xb500:104,0xe8d7:102,0x3b00:102,0x1346:102,0x8b10:102
332	0xbd36d	692	20	tail@0xbd8ad:692	90@0x8b334:256,347@0xc088d:102,114@0x90319:102,99@0x8c99a:102,319@0xba72f:102	+0x4:692	0xecc7:256,0xb8d:102,0xfab2:102,0x900:102,0x13d:102	0xaaee:256,0x826f:102,0x46c4:102,0x3d7a:102,0xc3e6:102	0x5200:256,0x3e74:102,0x5cc1:102,0x2a01:102,0xf600:102	0x3d96:256,0x3d00:106,0x3d69:102,0xdf54:102,0xb:102	0xf01:256,0x3d01:102,0xc701:102,0xf54:102,0x88ad:102	0x2499:256,0x4c27:102,0xdbb4:102,0x66a8:102,0x1200:102
160	0x994cf	664	50	tail@0x99757:664	172@0x9b68a:256,185@0x9d964:104,350@0xc1926:102,215@0xa4609:102,43@0x8173d:11	+0x2:664	0xa03e:256,0xa66a:102,0x225b:102,0x620:102,0xf657:4	0xad3:256,0x34b7:102,0xfa3a:102,0x3ffc:102,0x8b6b:8	0x960:256,0x73d:102,0x135b:102,0xc516:102,0xfdb0:4	0x2c21:256,0xbb3c:102,0x6002:102,0x34a0:102,0xa60:4	0x6085:256,0xaeb3:102,0x9003:102,0x79c5:102,0xb8de:5	0xaf42:256,0xc0b:102,0x8300:102,0x6900:102,0x7621:4
26	0x7dbbb	656	123	tail@0x7dfbd:656	157@0x98a9a:131,28@0x7e390:117,114@0x90319:109,168@0x9aa83:107,18@0x7be9b:25	+0x4:656	0x540:103,0x863:102,0x7353:102,0x7100:102,0xa88:6	0x91:109,0x4c12:102,0xb9f4:102,0xd9dd:102,0x13:8	0x5e56:102,0xab95:102,0xa257:102,0x328:102,0x98e7:9	0x24d9:102,0xdbe8:102,0xdf3a:102,0x26fa:102,0x1e8:6	0x191:102,0x85ba:102,0x5d91:102,0x8f8:102,0xad0:9	0xe800:110,0xd6aa:102,0xe81f:102,0xcc:102,0xe83a:10
301	0xb708d	634	40	tail@0xb7583:634	160@0x994cf:260,198@0xa037e:110,173@0x9ba74:108,352@0xc1ec4:108,108@0x8f24b:22	+0x5:634	0x2ff1:256,0x82af:102,0xefe3:102,0xf90a:102,0x31fe:4	0xa03e:256,0x8a33:102,0xad8:102,0x7ab4:102,0xf5cc:4	0xad3:256,0xfd93:102,0x6ee8:102,0x4709:102,0xf7b:4	0x960:256,0x937b:102,0xba0e:102,0xf9b7:102,0xaa0:4	0x2c21:256,0x2f37:102,0xe881:102,0xf6cc:102,0x5ebf:4	0x6085:256,0x9d70:102,0x8701:102,0xcaab:102,0x68:5
108	0x8f24b	595	65	tail@0x8f6cf:595	337@0xbec0e:257,333@0xbd8af:107,215@0xa4609:103,28@0x7e390:11,347@0xc088d:11	+0x2:595	0x96f3:256,0x560:102,0xe6a7:102,0xad8:4,0x452b:4	0x550:256,0x68:109,0x2b3d:102,0xef8f:4,0xbf32:4	0xc146:256,0x534b:102,0x390:102,0xfb8b:4,0x55:4	0xa134:256,0x1100:102,0xa600:102,0xb3:5,0xe820:4	0x804:256,0xf7d7:102,0xcf68:102,0xbc92:4,0x9cc3:4	0xa7fc:256,0xb2ca:102,0xbab:102,0x3a00:7,0x3ae3:4
198	0xa037e	595	58	tail@0xa062e:595	18@0x7be9b:110,185@0x9d964:105,215@0xa4609:103,300@0xb6c36:102,337@0xbec0e:102	+0x2:595	0xad8:103,0x87bf:102,0x54df:102,0x3830:102,0x448:102	0x6ee8:102,0xe33a:102,0xa80f:102,0xdca6:102,0x28c6:102	0xba0e:102,0xde68:102,0x1066:102,0x14ef:102,0xf0a6:102	0xe881:102,0x54d4:102,0x5af8:102,0x9cfc:102,0x620a:102	0x8701:102,0x54a8:102,0x38f3:102,0x960:102,0xc112:102	0x3d4a:102,0xdce9:102,0x68:102,0x34bc:102,0x34d7:102
333	0xbd8af	582	157	tail@0xbdd16:582	215@0xa4609:111,258@0xadf2c:109,305@0xb78b0:107,18@0x7be9b:22,28@0x7e390:19	+0x4:582	0x390:103,0xcb5:102,0x9cec:102,0x1e8:16,0x5e8:8	0x1e8:147,0xf4de:102,0xa600:102,0x3d00:7,0x89:6	0x890f:102,0x3d00:102,0xcf68:102,0x1e8:12,0x13d:6	0xd13a:102,0xcb01:102,0xbab:102,0x1e8:23,0x13d:8	0xee67:102,0xc77e:102,0x1fd7:102,0x13d:13,0x1e8:6	0x2e1a:102,0xbf47:102,0x3d58:102,0x1e8:6,0x4090:4
