site	reg	role	events	site_events	coverage_pct	top_entries	top_values	top_site_targets
0x91067	r11	target_value	25	25	100.0	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2	0x735389ebec0e:6,0x735389ebf435:4,0x735389e9e7af:3,0x735389e90319:2,0x735389eb8064:2,0x735389ea4609:2,0x735389ec088d:2,0x735389e85059:2	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2
0x91067	rbp	frame_pointer	25	25	100.0	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2	0x735389e7836d:25	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2
0x91067	rsi	slot_pointer	25	25	100.0	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2	0x735389ec41a0:6,0x735389ec41b8:4,0x735389ec3d00:3,0x735389ec3aa8:2,0x735389ec40b0:2,0x735389ec3dd0:2,0x735389ec41f0:2,0x735389ec3918:2	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2
0x91067	rsi	table_slot_match	25	25	100.0	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2	0x735389ec41a0:6,0x735389ec41b8:4,0x735389ec3d00:3,0x735389ec3aa8:2,0x735389ec40b0:2,0x735389ec3dd0:2,0x735389ec41f0:2,0x735389ec3918:2	337:6,340:4,189:3,114:2,307:2,215:2,347:2,64:2
0x980a9	r9	byte_index	25	25	100.0	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1	0x2d8:6,0x5b8:4,0x968:4,0x948:3,0x158:2,0x4e8:2,0x210:1,0xe0:1	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1
0x980a9	rax	target_value	25	25	100.0	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1	0x735389e8b6de:6,0x735389e9d495:4,0x735389eb708d:4,0x735389eb64d7:3,0x735389e8173d:2,0x735389e98a9a:2,0x735389e855ff:1,0x735389e7e390:1	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1
0x980a9	rbp	frame_pointer	25	25	100.0	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1	0x735389e7836d:25	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1
0x980a9	rsi	slot_pointer	25	25	100.0	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1	0x735389ec39f0:6,0x735389ec3cd0:4,0x735389ec4080:4,0x735389ec4060:3,0x735389ec3870:2,0x735389ec3c00:2,0x735389ec3928:1,0x735389ec37f8:1	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1
0x980a9	rsi	table_slot_match	25	25	100.0	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1	0x735389ec39f0:6,0x735389ec3cd0:4,0x735389ec4080:4,0x735389ec4060:3,0x735389ec3870:2,0x735389ec3c00:2,0x735389ec3928:1,0x735389ec37f8:1	91:6,183:4,301:4,297:3,43:2,157:2,66:1,28:1
0x922c1	r15	frame_pointer	24	66	36.4	28:5,297:4,268:4,337:4,192:4,215:1,52:1,185:1	0x735389e7836d:24	43:9,337:7,268:6,28:5,237:5,192:5,258:4,297:4
0xb625a	r15	target_value	24	24	100.0	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1	0x735389eadf2c:4,0x735389e90319:4,0x735389eb0007:4,0x735389e9e7af:2,0x735389ead32c:2,0x735389e85059:2,0x735389eb11ca:2,0x735389eb6c36:1	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1
0xb625a	r8	slot_pointer	24	24	100.0	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1	0x735389ec3f28:4,0x735389ec3aa8:4,0x735389ec3f78:4,0x735389ec3d00:2,0x735389ec3f08:2,0x735389ec3918:2,0x735389ec3fa0:2,0x735389ec4078:1	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1
0xb625a	r8	table_slot_match	24	24	100.0	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1	0x735389ec3f28:4,0x735389ec3aa8:4,0x735389ec3f78:4,0x735389ec3d00:2,0x735389ec3f08:2,0x735389ec3918:2,0x735389ec3fa0:2,0x735389ec4078:1	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1
0xb625a	rbp	frame_pointer	24	24	100.0	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1	0x735389e7836d:24	258:4,114:4,268:4,189:2,254:2,64:2,273:2,300:1
0xaeeff	r11	slot_pointer	23	23	100.0	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1	0x735389ec37a8:10,0x735389ec3f28:5,0x735389ec41a0:2,0x735389ec3aa8:2,0x735389ec4060:1,0x735389ec41f0:1,0x735389ec41b8:1,0x735389ec37f8:1	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
0xaeeff	r11	table_slot_match	23	23	100.0	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1	0x735389ec37a8:10,0x735389ec3f28:5,0x735389ec41a0:2,0x735389ec3aa8:2,0x735389ec4060:1,0x735389ec41f0:1,0x735389ec41b8:1,0x735389ec37f8:1	18:10,258:5,337:2,114:2,297:1,347:1,340:1,28:1
