source_entry	source_target	events	unique_targets	full_status	full_terms	full_state_terms	full_post_terms	full_byte_terms	tested_folds	train_fit_folds	test_events	matched_events	coverage_pct	cv_status	top_targets	full_bit_formulas
307	0xb8064	7050	84	inconsistent	0	0	0	0	5	0	7050	0	0.0	no_train_fit	0x570:450,0x4e8:421,0xd0:414,0x390:410,0xaa0:358,0x620:351,0x508:344,0xa88:295	
297	0xb64d7	6483	77	inconsistent	0	0	0	0	5	0	6483	0	0.0	no_train_fit	0x620:565,0xad8:564,0xa68:360,0x810:341,0xaa0:337,0x968:332,0x658:323,0x820:266	
199	0xa0631	6207	80	inconsistent	0	0	0	0	5	0	6207	0	0.0	no_train_fit	0x810:509,0x5c0:441,0x390:343,0x658:310,0x278:300,0xaa0:294,0x968:274,0x5e8:271	
64	0x85059	6175	68	inconsistent	0	0	0	0	5	0	6175	0	0.0	no_train_fit	0x638:609,0xe0:584,0x6b8:410,0x90:340,0x3c8:277,0x5c0:270,0x5c8:246,0x998:228	
185	0x9d964	6172	75	inconsistent	0	0	0	0	5	0	6172	0	0.0	no_train_fit	0x540:438,0x658:431,0xad8:416,0xa88:407,0x560:339,0x6e0:292,0xa60:278,0x200:237	
43	0x8173d	5309	59	inconsistent	0	0	0	0	5	0	5309	0	0.0	no_train_fit	0xd0:595,0xad8:515,0x810:397,0x638:336,0x6e0:286,0xaa0:260,0x90:196,0xe0:185	
196	0x9fbcd	4953	60	inconsistent	0	0	0	0	5	0	4953	0	0.0	no_train_fit	0xaa0:572,0x210:517,0x5e8:485,0x90:406,0x108:337,0x6b8:292,0x888:262,0x810:143	
157	0x98a9a	4834	64	inconsistent	0	0	0	0	5	0	4834	0	0.0	no_train_fit	0x210:426,0x810:369,0x90:364,0x5e8:313,0x648:261,0x5c8:254,0x638:205,0x200:188	
168	0x9aa83	4535	61	inconsistent	0	0	0	0	5	0	4535	0	0.0	no_train_fit	0x9d8:567,0x5e8:369,0xaa0:367,0xa88:366,0xad8:353,0x810:291,0x200:128,0xd0:127	
172	0x9b68a	4530	64	fit	13	0	0	9	5	5	4530	4530	100.0	robust	0xe0:360,0x638:346,0x998:306,0x7f0:262,0x400:261,0xa60:258,0x820:258,0x5e8:206	y0=0;y1=0;y2=0;y3=b2.3;y4=1^b2.4;y5=1^b2.5;y6=b2.6;y7=b2.7;y8=b3.0;y9=1^b3.1;y10=b3.2;y11=1^b3.3;y12=0
268	0xb0007	3696	56	inconsistent	0	0	0	0	5	0	3696	0	0.0	no_train_fit	0x798:411,0x968:261,0xe0:251,0x5c8:180,0x200:171,0x5e8:165,0x188:153,0x6b8:149	
333	0xbd8af	3602	58	inconsistent	0	0	0	0	5	0	3602	0	0.0	no_train_fit	0x988:337,0x6b8:335,0x810:305,0xa88:177,0x798:161,0xe0:147,0x390:141,0x200:131	
174	0x9bd8f	3318	27	inconsistent	0	0	0	0	5	0	3318	0	0.0	no_train_fit	0x390:446,0x810:409,0x638:294,0xe0:254,0xad8:241,0x998:189,0x5c8:184,0x5e8:173	
315	0xb9451	3298	25	fit	12	0	0	9	5	5	3298	3298	100.0	robust	0xe0:604,0x6b8:304,0xad8:303,0x538:302,0x390:127,0x638:127,0x810:121,0x620:115	y0=0;y1=0;y2=0;y3=b2.3;y4=1^b2.4;y5=1^b2.5;y6=1^b2.6;y7=b2.7;y8=b3.0;y9=b3.1;y10=b3.2;y11=b3.3;y12=0
203	0xa1484	3283	59	fit	9	0	1	8	5	5	3283	3283	100.0	robust	0x948:385,0x810:357,0x9d8:298,0x1a0:256,0xad8:131,0x960:131,0xad0:102,0x210:94	y0=0;y1=0;y2=0;y3=b0.3;y4=b0.4;y5=b0.5;y6=b0.6;y7=b0.7;y8=b1.0;y9=b1.1;y10=b1.2;y11=post.11;y12=0
184	0x9d694	3100	29	inconsistent	0	0	0	0	5	0	3100	0	0.0	no_train_fit	0xe0:471,0x210:426,0xa88:394,0xaa0:250,0x200:182,0x390:161,0x90:159,0xad8:125	
26	0x7dbbb	3024	25	inconsistent	0	0	0	0	5	0	3024	0	0.0	no_train_fit	0x4e8:391,0xe0:348,0x390:325,0x540:299,0x810:153,0x158:146,0xa88:134,0x860:124	
123	0x91a59	2829	30	inconsistent	0	0	0	0	5	0	2829	0	0.0	no_train_fit	0x90:337,0x190:320,0xa88:294,0x390:216,0x210:199,0x638:171,0x5c8:160,0x810:155	
160	0x994cf	2706	60	inconsistent	0	0	0	0	5	0	2706	0	0.0	no_train_fit	0x5c8:335,0x6b8:334,0x560:263,0xaf0:256,0x200:227,0x998:140,0x158:113,0xaa0:110	
161	0x9975a	2666	27	inconsistent	0	0	0	0	5	0	2666	0	0.0	no_train_fit	0x210:368,0x90:327,0xe0:217,0xa88:204,0xad8:176,0x6b8:173,0x810:157,0xaa0:128	
305	0xb78b0	2662	25	inconsistent	0	0	0	0	5	0	2662	0	0.0	no_train_fit	0x5e8:360,0x638:304,0x4e8:193,0x998:191,0x948:160,0x860:148,0x658:140,0xe0:100	
158	0x99029	2632	29	inconsistent	0	0	0	0	5	0	2632	0	0.0	no_train_fit	0xaa0:396,0x200:393,0x810:341,0x90:170,0xa88:135,0x390:135,0x998:131,0xad8:124	
