source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	top_actual_targets	path
321	0xbb1dd	9e32de774899afb7	6	0	0.0	0	0.0	unknown_target:6	1	1	1	6=T[(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff]	6=(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	6=0x4	169@0x9af18:3,310@0xb8556:3	0xbb1f8:je:0;0xbb202:je:0;0xbb4c1:je:0
322	0xbb3c9	10e8593b486b88a6	6	6	100.0	6	100.0	ok:6	1	1	1	6=T[(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff]	6=(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	6=0x4	3@0x78c77:2,258@0xadf2c:1,333@0xbd8af:1,337@0xbec0e:1,49@0x82820:1	0xbb4c1:je:1
357	0xc29cf	b76f0c1213392f8e	6	6	100.0	6	100.0	ok:6	1	1	1	6=T[(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff]	6=(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff	6=0x5	144@0x95887:3,352@0xc1ec4:3	0xc2b01:jne:1;0xc2b1d:jne:1;0xc2b39:jne:0;0xc2b57:jne:1;0xc2c03:je:0
144	0x95887	ae421cf8f256b57d	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff]	5=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff	5=0x2	347@0xc088d:4,215@0xa4609:1	0x959a6:jne:1;0x959b1:jne:1;0x959bd:jne:0;0x959d3:je:?;0x959e9:jne:1;0x95a08:je:1
146	0x96407	53b63322d7265d26	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32((mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)) + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u16_3 + (mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)))))))) + 0x2cff1885)) & 0xffff]	5=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32((mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)) + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u16_3 + (mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)))))))) + 0x2cff1885)) & 0xffff	5=0x5	66@0x855ff:4,217@0xa4b11:1	0x96428:je:?;0x96492:je:0;0x966c4:jne:0;0x966d3:jne:1;0x966f8:jne:1;0x9671d:jne:1
187	0x9e07d	2778a69fcfd9605e	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32(u16_3 - state0)) & 0xffff]	5=(mask32(u16_3 - state0)) & 0xffff	5=0x5	173@0x9ba74:5	0x9e15a:jne:1;0x9e173:jne:1;0x9e18c:jne:1;0x9e1a0:jne:0;0x9e23d:je:0
192	0x9f00a	d15bf3105a909314	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32(u16_0 ^ (mask32((mask32((mask32(state0 + flags0)) + (mask32((mask32((mask32((mask32((mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))) | 0x76a1e6e7)) ^ 0x1ea5bfdc)) & 0x4f4379b7)) | 0x563159ce)))) + (mask32((mask32((mask32((mask32((mask32(flags0 + (mask32((mask32(state0 + fla...#10019d14302b	5=(mask32(u16_0 ^ (mask32((mask32((mask32(state0 + flags0)) + (mask32((mask32((mask32((mask32((mask32(flags0 + (mask32((mask32(state0 + flags0)) ^ 0x5d641cd7)))) | 0x76a1e6e7)) ^ 0x1ea5bfdc)) & 0x4f4379b7)) | 0x563159ce)))) + (mask32((mask32((mask32((mask32((mask32(flags0 + (mask32((mask32(state0 + flags...#41021c953f7f	5=0x5	352@0xc1ec4:4,198@0xa037e:1	0x9f0c6:je:0;0x9f163:je:0;0x9f2a8:jne:1;0x9f2ce:jne:1;0x9f2ea:jne:1;0x9f309:jne:0;0x9f512:je:0
237	0xa8e1f	07122ecb14f3e2fb	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32((mask32(u16_1 ^ (mask32((mask32((mask32(state0 - (mask32(flags0 ^ 0x22900c8)))) - (mask32(flags0 ^ 0x8178b71)))) - 0x4813dbc)))) - 0x4f4105f2)) & 0xffff]	5=(mask32((mask32(u16_1 ^ (mask32((mask32((mask32(state0 - (mask32(flags0 ^ 0x22900c8)))) - (mask32(flags0 ^ 0x8178b71)))) - 0x4813dbc)))) - 0x4f4105f2)) & 0xffff	5=0x5	108@0x8f24b:3,144@0x95887:2	0xa8efb:je:?;0xa8f3c:je:1;0xa8fc9:je:0;0xa9000:jne:1;0xa900c:jne:1;0xa9019:jne:1;0xa9025:jne:0;0xa90d7:je:1;0xa9292:je:1
240	0xa9cf7	7d2cd2d791a87439	5	5	100.0	5	100.0	ok:5	1	1	1	5=T[(mask32((mask32(u16_3 - state0)) - 0x7bec2197)) & 0xffff]	5=(mask32((mask32(u16_3 - state0)) - 0x7bec2197)) & 0xffff	5=0x5	173@0x9ba74:5	0xa9e2b:jne:1;0xa9e48:jne:1;0xa9e62:jne:0;0xa9e7e:jne:1;0xa9edd:je:0
13	0x7aee8	b7836cdca7530662	4	4	100.0	4	100.0	ok:4	1	1	1	4=T[(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff]	4=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	4=0x5	256@0xad849:4	0x7af0e:je:0;0x7b058:je:0;0x7b089:jne:1;0x7b097:jne:1;0x7b0a6:jne:0;0x7b0b4:jne:1;0x7b0f2:je:0;0x7b14c:je:0;0x7b179:je:0
