source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	top_actual_targets	path
43	0x8173d	cd5d6af99a29906c	2665	2665	100.0	2665	100.0	ok:2665	258@0xadf2c:326,340@0xbf435:180,307@0xb8064:158,18@0x7be9b:156,28@0x7e390:148,66@0x855ff:142,346@0xc0535:132,215@0xa4609:113	0x81762:je:0;0x817a0:je:1;0x81818:je:?
43	0x8173d	67213943b44586b3	2644	2644	100.0	2644	100.0	ok:2644	26@0x7dbbb:521,347@0xc088d:412,199@0xa0631:290,220@0xa522e:278,287@0xb45d2:89,340@0xbf435:80,305@0xb78b0:72,258@0xadf2c:71	0x81762:je:0;0x817a0:je:0;0x81818:je:?
168	0x9aa83	e7cc215af77d8ef7	2629	2629	100.0	2629	100.0	ok:2629	315@0xb9451:558,340@0xbf435:321,258@0xadf2c:177,64@0x85059:105,114@0x90319:86,305@0xb78b0:78,26@0x7dbbb:73,307@0xb8064:71	0x9aa9c:je:1;0x9aadd:je:1;0x9ab2f:je:1;0x9ab7f:je:?;0x9ad6a:je:?;0x9ad85:je:0
268	0xb0007	2a7cfed8554aeeea	2583	2583	100.0	2583	100.0	ok:2583	243@0xaab6a:379,301@0xb708d:256,185@0x9d964:170,49@0x82820:151,64@0x85059:149,189@0x9e7af:131,346@0xc0535:121,18@0x7be9b:111	0xb01e9:je:?;0xb0218:je:0;0xb026a:je:1;0xb029a:je:?;0xb02eb:je:0;0xb0307:je:1
172	0x9b68a	5946e91076802daf	2423	2423	100.0	2423	100.0	ok:2423	28@0x7e390:328,199@0xa0631:286,332@0xbd36d:257,258@0xadf2c:147,66@0x855ff:134,114@0x90319:127,18@0x7be9b:112,185@0x9d964:107	0x9b76c:je:1
28	0x7e390	a584853ff2ab10f8	2373	2373	100.0	2373	100.0	ok:2373	43@0x8173d:358,347@0xc088d:294,114@0x90319:124,258@0xadf2c:110,337@0xbec0e:92,189@0x9e7af:84,176@0x9c10b:65,340@0xbf435:60	0x7e549:je:0;0x7e584:je:1;0x7e5dc:je:0;0x7e604:je:0
337	0xbec0e	11a77aea405c465b	2344	2344	100.0	2344	100.0	ok:2344	196@0x9fbcd:262,297@0xb64d7:160,185@0x9d964:139,3@0x78c77:132,215@0xa4609:128,28@0x7e390:125,305@0xb78b0:98,172@0x9b68a:90	0xbec7a:je:0;0xbeea3:je:?;0xbeee0:je:?;0xbef44:je:0;0xbef67:je:1;0xbefac:je:0
347	0xc088d	f3bcc4cd001addbe	2265	2265	100.0	2265	100.0	ok:2265	37@0x80685:320,18@0x7be9b:275,128@0x9299b:257,307@0xb8064:190,297@0xb64d7:101,315@0xb9451:90,43@0x8173d:81,66@0x855ff:72	0xc093d:je:?;0xc09c2:je:0
305	0xb78b0	b293d29f0d3e7630	2221	2221	100.0	2221	100.0	ok:2221	189@0x9e7af:354,199@0xa0631:287,307@0xb8064:187,297@0xb64d7:158,268@0xb0007:147,157@0x98a9a:115,338@0xbf128:89,28@0x7e390:87	0xb78db:je:?;0xb7924:je:1;0xb7978:jne:?;0xb7988:jne:1;0xb79a8:je:0;0xb79b7:je:1;0xb7a13:je:0;0xb7a4c:je:0
18	0x7be9b	7e789bf72e271a78	2208	2208	100.0	2208	100.0	ok:2208	347@0xc088d:364,114@0x90319:323,174@0x9bd8f:101,161@0x9975a:86,189@0x9e7af:78,64@0x85059:74,123@0x91a59:70,258@0xadf2c:68	0x7bed4:je:?;0x7befe:je:0;0x7bfe0:je:0;0x7c17e:je:0
172	0x9b68a	9f43d3ef44650cf6	2107	2107	100.0	2107	100.0	ok:2107	128@0x9299b:261,307@0xb8064:261,254@0xad32c:260,260@0xae90b:257,189@0x9e7af:146,340@0xbf435:69,215@0xa4609:66,346@0xc0535:52	0x9b76c:je:0
315	0xb9451	bf4929f2b479b9b6	2024	2024	100.0	2024	100.0	ok:2024	28@0x7e390:326,167@0x9a8d2:280,347@0xc088d:280,258@0xadf2c:99,199@0xa0631:97,337@0xbec0e:90,307@0xb8064:89,196@0x9fbcd:86	0xb94cc:je:1;0xb961d:jne:?;0xb9652:jne:1;0xb9690:je:0;0xb969f:je:1;0xb971f:je:0
297	0xb64d7	dd7429ceb8820140	1953	1953	100.0	1953	100.0	ok:1953	333@0xbd8af:281,260@0xae90b:258,268@0xb0007:134,340@0xbf435:129,184@0x9d694:118,258@0xadf2c:111,347@0xc088d:98,189@0x9e7af:76	0xb64f9:je:?;0xb651f:je:?;0xb654f:je:0;0xb65c8:je:0;0xb65f5:je:1
168	0x9aa83	10bb5c4fd8158911	1906	1906	100.0	1906	100.0	ok:1906	189@0x9e7af:313,337@0xbec0e:305,347@0xc088d:290,258@0xadf2c:114,254@0xad32c:70,346@0xc0535:57,215@0xa4609:56,26@0x7dbbb:54	0x9aa9c:je:0;0x9aadd:je:1;0x9ab2f:je:1;0x9ab7f:je:?;0x9ad6a:je:?;0x9ad85:je:0
66	0x855ff	4dd8656368f895da	1879	1879	100.0	1879	100.0	ok:1879	300@0xb6c36:256,64@0x85059:136,340@0xbf435:123,258@0xadf2c:94,315@0xb9451:94,337@0xbec0e:81,189@0x9e7af:77,243@0xaab6a:67	0x85621:je:?;0x8566a:je:0;0x856f1:je:0;0x858d5:je:0
49	0x82820	14dc36f04060df7a	1844	1844	100.0	1844	100.0	ok:1844	144@0x95887:471,198@0xa037e:361,257@0xadbfd:320,108@0x8f24b:261,160@0x994cf:145,173@0x9ba74:135,352@0xc1ec4:110,256@0xad849:41	0x829d6:je:0;0x82c04:je:1;0x82cc1:je:0
203	0xa1484	4292cfe2955518a7	1771	1771	100.0	1771	100.0	ok:1771	297@0xb64d7:365,258@0xadf2c:332,199@0xa0631:72,66@0x855ff:67,18@0x7be9b:66,300@0xb6c36:66,64@0x85059:60,114@0x90319:55	0xa149f:je:1;0xa1781:je:0
161	0x9975a	ebe03648e3da58bb	1767	1767	100.0	1767	100.0	ok:1767	66@0x855ff:342,18@0x7be9b:299,28@0x7e390:154,258@0xadf2c:129,347@0xc088d:94,337@0xbec0e:91,340@0xbf435:91,215@0xa4609:70	0x99779:je:?;0x9988f:jne:1;0x9994f:je:0
300	0xb6c36	b75ed1b046c72a97	1655	1655	100.0	1655	100.0	ok:1655	258@0xadf2c:260,220@0xa522e:258,185@0x9d964:257,333@0xbd8af:257,337@0xbec0e:257,297@0xb64d7:136,301@0xb708d:65,183@0x9d495:48	0xb6c57:je:?;0xb6c87:je:0;0xb6d00:je:1;0xb6f5c:je:0
158	0x99029	cf24ba4d3b8dd524	1603	1603	100.0	1603	100.0	ok:1603	340@0xbf435:343,258@0xadf2c:294,18@0x7be9b:109,337@0xbec0e:100,261@0xaeda2:92,347@0xc088d:87,189@0x9e7af:79,66@0x855ff:73	0x99071:je:1;0x990e7:jne:1
114	0x90319	b71549d9312d50e2	1598	1598	100.0	1598	100.0	ok:1598	66@0x855ff:403,20@0x7c62b:151,315@0xb9451:99,307@0xb8064:67,250@0xac802:64,199@0xa0631:57,161@0x9975a:54,18@0x7be9b:44	0x90334:je:?;0x903d9:je:0;0x904a4:je:1;0x904ed:je:1;0x9052b:je:1
176	0x9c10b	bbe0d482f93ad097	1598	1598	100.0	1598	100.0	ok:1598	28@0x7e390:340,307@0xb8064:157,337@0xbec0e:138,114@0x90319:136,189@0x9e7af:130,18@0x7be9b:101,340@0xbf435:100,64@0x85059:75	0x9c1c7:jne:1;0x9c215:je:1;0x9c25d:je:0
114	0x90319	46a3a5ec4333ac5c	1588	1588	100.0	1588	100.0	ok:1588	185@0x9d964:301,158@0x99029:270,215@0xa4609:153,307@0xb8064:114,20@0x7c62b:74,18@0x7be9b:73,196@0x9fbcd:66,66@0x855ff:49	0x90334:je:?;0x903d9:je:1;0x904a4:je:0;0x904ed:je:1;0x9052b:je:1
157	0x98a9a	e0d685545e474961	1559	1559	100.0	1559	100.0	ok:1559	258@0xadf2c:333,66@0x855ff:303,185@0x9d964:101,199@0xa0631:97,118@0x90c23:64,148@0x96b6e:64,28@0x7e390:59,337@0xbec0e:49	0x98ab4:je:1;0x98afb:je:1;0x98b42:je:1;0x98d6b:je:1;0x98db0:je:1;0x98e31:je:?;0x98e54:je:1
203	0xa1484	1f7d4c17755b5949	1512	1512	100.0	1512	100.0	ok:1512	315@0xb9451:265,52@0x833c7:256,347@0xc088d:100,346@0xc0535:93,220@0xa522e:67,320@0xbada5:67,300@0xb6c36:65,340@0xbf435:56	0xa149f:je:0;0xa1781:je:0
287	0xb45d2	e5e2d90fa1aca382	1510	1510	100.0	1510	100.0	ok:1510	199@0xa0631:304,172@0x9b68a:150,347@0xc088d:130,307@0xb8064:95,189@0x9e7af:77,196@0x9fbcd:75,43@0x8173d:73,258@0xadf2c:63	0xb461d:je:0;0xb464a:je:1;0xb468d:je:0;0xb46fa:je:1;0xb47a7:jne:?;0xb47b8:jne:1;0xb47d9:je:0;0xb47e8:je:1;0xb4810:je:?
173	0x9ba74	a850de9f13bd8045	1463	1463	100.0	1463	100.0	ok:1463	349@0xc140b:264,340@0xbf435:105,28@0x7e390:103,185@0x9d964:84,203@0xa1484:75,297@0xb64d7:74,254@0xad32c:70,291@0xb4edd:64	0x9bb4a:jne:1;0x9bb57:jne:1;0x9bb65:jne:1;0x9bb91:jne:0;0x9bbb5:je:0;0x9bbfa:je:?
301	0xb708d	cac34de3c2598035	1452	1452	100.0	1452	100.0	ok:1452	160@0x994cf:496,352@0xc1ec4:342,198@0xa037e:295,257@0xadbfd:83,256@0xad849:78,173@0x9ba74:64,144@0x95887:49,108@0x8f24b:45	0xb7140:je:?;0xb71c5:je:?;0xb720a:je:?;0xb726f:je:1;0xb72a8:je:?;0xb73b9:je:1
20	0x7c62b	608892ddc57fe1bf	1434	1434	100.0	1434	100.0	ok:1434	181@0x9d13f:285,66@0x855ff:144,114@0x90319:130,347@0xc088d:92,189@0x9e7af:91,297@0xb64d7:90,337@0xbec0e:81,185@0x9d964:77	0x7c649:je:?;0x7c702:je:1;0x7c858:jne:1
114	0x90319	983eae8b4f6ca894	1434	1434	100.0	1434	100.0	ok:1434	287@0xb45d2:272,332@0xbd36d:260,185@0x9d964:78,66@0x855ff:78,43@0x8173d:70,154@0x97ce6:65,307@0xb8064:53,28@0x7e390:52	0x90334:je:?;0x903d9:je:0;0x904a4:je:0;0x904ed:je:1;0x9052b:je:1
