source_entry	source_target	events	unique_targets	best_class	best_formula	matched_events	coverage_pct	top_targets
287	0xb45d2	2612	25	constant_target	constant:0xe0	341	13.1	0xe0:341,0x948:338,0x638:324,0x560:172,0xad8:151,0x998:127,0x5e8:109,0x810:103
176	0x9c10b	2512	31	constant_target	constant:0xe0	439	17.5	0xe0:439,0x998:220,0x5e8:210,0xa88:194,0x90:158,0xaa0:151,0x390:150,0x810:145
20	0x7c62b	2490	28	constant_target	constant:0x390	454	18.2	0x390:454,0x5a8:287,0x810:208,0x210:164,0x5e8:136,0xad8:127,0xa88:124,0x200:121
198	0xa037e	2441	59	constant_target	constant:0x960	326	13.4	0x960:326,0x90:276,0x5c8:265,0xa88:265,0x6b8:259,0x810:111,0xaf0:71,0x2d0:69
108	0x8f24b	2430	59	constant_target	constant:0xa88	310	12.8	0xa88:310,0xa68:290,0x6b8:283,0x998:161,0x680:128,0x158:110,0xe0:108,0xaa0:100
257	0xadbfd	2408	61	constant_target	constant:0x560	774	32.1	0x560:774,0x158:269,0x4e8:267,0xad8:88,0xaa0:83,0x9a0:81,0x6b8:74,0x888:68
173	0x9ba74	2374	60	constant_target	constant:0x200	342	14.4	0x200:342,0x620:278,0xae8:264,0x658:139,0xaa0:111,0xe0:107,0x390:106,0x5c8:87
300	0xb6c36	2210	41	constant_target	constant:0x810	517	23.4	0x810:517,0x6e0:274,0xa68:261,0xa88:259,0x5c8:257,0x948:141,0x968:129,0x5b8:83
243	0xaab6a	2189	25	constant_target	constant:0x998	336	15.3	0x998:336,0xe0:157,0x210:136,0x538:130,0x90:127,0x5e8:111,0x390:105,0xa90:102
144	0x95887	2050	60	state_expr	post&0x1fff	422	20.6	0x810:304,0x540:277,0x90:273,0x860:117,0xad8:104,0x4e8:74,0x4d0:67,0x390:46
301	0xb708d	2037	8	constant_target	constant:0x500	538	26.4	0x500:538,0x568:396,0xb00:374,0x630:324,0x808:124,0x480:95,0x800:94,0x360:92
33	0x7f7c4	2035	25	state_expr	post&0x1fff	319	15.7	0x948:305,0x810:155,0x210:127,0x998:120,0x4e8:111,0x538:93,0x200:92,0xaa0:87
346	0xc0535	1997	25	constant_target	constant:0xe0	192	9.6	0xe0:192,0x4e8:155,0x390:138,0x210:128,0x540:118,0x810:109,0x200:104,0xa88:96
220	0xa522e	1926	8	constant_target	constant:0x480	597	31.0	0x480:597,0x360:400,0x630:301,0x568:159,0xb00:151,0x800:132,0x500:129,0x808:57
332	0xbd36d	1880	44	constant_target	constant:0xad8	266	14.1	0xad8:266,0x2d0:256,0x390:256,0x318:256,0x9f8:256,0x810:93,0xaa0:73,0x158:69
49	0x82820	1844	8	constant_target	constant:0x480	471	25.5	0x480:471,0x630:361,0x808:320,0x360:261,0x500:145,0x568:135,0xb00:110,0x800:41
352	0xc1ec4	1775	59	constant_target	constant:0x810	350	19.7	0x810:350,0x920:257,0x998:104,0x3c8:84,0x5e8:81,0x4e8:77,0x4d0:71,0x680:66
256	0xad849	1516	58	constant_target	constant:0xaa0	296	19.5	0xaa0:296,0x860:141,0x638:91,0x810:86,0x888:85,0x4e8:84,0xa88:77,0x5e8:53
